"Investment_Experience","RebalanceFrequency","Time_Horizon","Is_Churn","Investment_Objectives","Risk_Tolerance","Review_Frequency","Marketing_Segment","FA_Performance3Yr","LastInteraction_Months","Relationship_Length","LastReview_Months","Wallet_Share","FA_PerformanceYTD","FA_Performance1Yr","FA_PerformanceMTD","AUM","FA_PerformanceQTD"
"Moderately Inexperienced","Semiannually","Long Term","True","Balanced","None","Monthly","Mass Affluent",24,10,6,7,50,2.4,4.6,-1.8,357000,2
"Moderately Experienced","Semiannually","Long Term","True","Aggressive Growth","None","Quarterly","Mass Affluent",20.9,1,5,6,50,-0.5,2.2,2.1,372000,-0.5
"Experienced","Quarterly","Medium Term","True","Conservative Income","Conservative","Quarterly","Mass Affluent",21.9,4,3,8,50,0.9,6.1,1.9,489000,-6
"Moderately Experienced","Monthly","Short Term","False","Aggressive Growth","Conservative","Quarterly","Female Investor",11.1,12,8,8,100,0,-1.4,-0.5,380000,2.4
"Experienced","Semiannually","Short Term","True","Balanced","Aggressive","Annually","Mass Affluent",19.3,7,1,9,50,-0.2,-2.8,2.6,177000,2.9
"Experienced","Monthly","Medium Term","False","Growth","Conservative","Annually","High Net Worth",10.6,7,4,5,100,-2.9,4.7,0.3,374000,-5
"Inexperienced","Semiannually","Medium Term","True","Growth","Aggressive","Annually","Millennial",24,16,4,9,70,3,4.8,2,300000,-10.4
"Moderately Inexperienced","Monthly","Short Term","True","Growth","Aggressive","Monthly","Millennial",14.6,10,1,3,50,2.6,7.6,1.3,190000,-3.6
"Inexperienced","Annually","Medium Term","False","Growth","Aggressive","Quarterly","Millennial",5.7,6,4,9,100,-1.2,8.4,1.8,300000,3.7
"Moderately Inexperienced","Annually","Short Term","True","Growth","Aggressive","Monthly","Millennial",5.9,8,1,10,50,2.3,5,1.6,190000,-3.5
"Moderately Experienced","Semiannually","Short Term","True","Balanced","Moderate","Monthly","Female Investor",7.3,2,26,12,80,-0.5,3.6,-1.4,895000,-1.5
"Moderately Inexperienced","Annually","Short Term","True","Growth","Aggressive","Monthly","Millennial",19.2,1,1,4,50,2.7,2.5,0.4,190000,-5.2
"Moderately Inexperienced","Quarterly","Short Term","True","Growth","Aggressive","Monthly","Millennial",15.3,11,1,11,50,4.1,1.9,1.9,190000,-4.6
"Moderately Inexperienced","Monthly","Short Term","True","Growth","Conservative","Monthly","Millennial",13.1,14,1,2,50,-0.2,6.4,1.9,190000,-2
"Inexperienced","Annually","Medium Term","True","Growth","Aggressive","Annually","Millennial",20.9,10,4,4,100,-2.9,-0.1,2,300000,-1.7
"Moderately Inexperienced","Quarterly","Short Term","True","Growth","Aggressive","Monthly","Millennial",4.6,1,1,10,50,0.9,5.4,0.4,190000,-2.4
"Inexperienced","Semiannually","Medium Term","True","Growth","Aggressive","Annually","Millennial",21.5,4,4,8,100,1.9,1.5,-0.5,300000,0
"Moderately Inexperienced","Semiannually","Medium Term","False","Balanced","Conservative","Quarterly","High Net Worth",16.6,12,0,7,70,-2.3,0.9,2.5,324700,3.2
"Inexperienced","Quarterly","Medium Term","False","Growth","Aggressive","Quarterly","Millennial",21.1,4,4,5,100,-1,6,1.9,300000,0.5
"Inexperienced","Monthly","Medium Term","True","Growth","Aggressive","Annually","Millennial",23.3,0,4,11,100,8,4.3,0.2,300000,4.4
"Experienced","Annually","Long Term","False","Balanced","Conservative","Monthly","High Net Worth",14.6,8,2,9,0,7.5,6,-1,502000,-0.9
"Experienced","Annually","Short Term","True","Income","Conservative","Quarterly","High Net Worth",5.7,3,4,8,0,-3.2,4.8,-1,597000,-1.3
"Moderately Experienced","Quarterly","Medium Term","False","Aggressive Growth","Moderate","Annually","Mass Affluent",5.9,12,3,8,0,0.6,2.1,-0.6,384000,-1.9
"Experienced","Monthly","Long Term","True","Aggressive Growth","Moderate","Monthly","Mass Affluent",7.3,16,5,12,0,6.4,7.7,0.8,698000,4.2
"Moderately Inexperienced","Annually","Long Term","False","Growth","Conservative","Annually","High Net Worth",19.2,10,4,10,0,-2.6,4.5,1.1,530000,-4.7
"Inexperienced","Annually","Short Term","False","Aggressive Growth","Aggressive","Annually","Millennial",15.3,6,7,5,0,-1.9,4.6,0.6,555000,2.6
"Experienced","Annually","Short Term","False","Balanced","None","Annually","Mass Affluent",13.1,8,4,10,100,0.1,3.9,4.7,450000,3.2
"Inexperienced","Annually","Long Term","False","Aggressive Growth","Moderate","Annually","Female Investor",20.9,2,10,17,50,0.5,0.6,4.2,439000,-6.9
"Moderately Experienced","Annually","Long Term","False","Income","Conservative","Quarterly","Millennial",4.6,1,1,8,100,0.3,4.7,-2.1,418000,0.5
"Experienced","Semiannually","Long Term","True","Balanced","Aggressive","Annually","Female Investor",21.5,11,8,7,50,2.7,3.4,0.4,735000,-7.7
"Inexperienced","Semiannually","Medium Term","True","Conservative Income","Moderate","Quarterly","Mass Affluent",17.5,14,2,4,80,-1.9,5.6,-0.4,574000,2.7
"Moderately Inexperienced","Semiannually","Long Term","True","Balanced","None","Monthly","Mass Affluent",24,10,6,7,50,2.4,4.6,-1.8,357000,2
"Moderately Experienced","Semiannually","Long Term","True","Aggressive Growth","None","Quarterly","Mass Affluent",20.9,1,5,6,50,-0.5,2.2,2.1,372000,-0.5
"Experienced","Quarterly","Medium Term","True","Conservative Income","Conservative","Quarterly","Mass Affluent",21.9,4,3,8,50,0.9,6.1,1.9,489000,-6
"Moderately Experienced","Monthly","Short Term","False","Aggressive Growth","Conservative","Quarterly","Female Investor",11.1,12,8,8,100,0,-1.4,-0.5,380000,2.4
"Experienced","Semiannually","Short Term","True","Balanced","Aggressive","Annually","Mass Affluent",19.3,7,1,9,50,-0.2,-2.8,2.6,177000,2.9
"Experienced","Monthly","Medium Term","False","Growth","Conservative","Annually","High Net Worth",10.6,7,4,5,100,-2.9,4.7,0.3,374000,-5
"Inexperienced","Semiannually","Medium Term","True","Growth","Aggressive","Annually","Millennial",24,16,4,9,70,3,4.8,2,300000,-10.4
"Moderately Inexperienced","Monthly","Short Term","True","Growth","Aggressive","Monthly","Millennial",14.6,10,1,3,50,2.6,7.6,1.3,190000,-3.6
"Inexperienced","Annually","Medium Term","False","Growth","Aggressive","Quarterly","Millennial",5.7,6,4,9,100,-1.2,8.4,1.8,300000,3.7
"Moderately Inexperienced","Annually","Short Term","True","Growth","Aggressive","Monthly","Millennial",5.9,8,1,10,50,2.3,5,1.6,190000,-3.5
"Moderately Experienced","Semiannually","Short Term","True","Balanced","Moderate","Monthly","Female Investor",7.3,2,26,12,80,-0.5,3.6,-1.4,895000,-1.5
"Moderately Inexperienced","Annually","Short Term","True","Growth","Aggressive","Monthly","Millennial",19.2,1,1,4,50,2.7,2.5,0.4,190000,-5.2
"Moderately Inexperienced","Quarterly","Short Term","True","Growth","Aggressive","Monthly","Millennial",15.3,11,1,11,50,4.1,1.9,1.9,190000,-4.6
"Moderately Inexperienced","Monthly","Short Term","True","Growth","Conservative","Monthly","Millennial",13.1,14,1,2,50,-0.2,6.4,1.9,190000,-2
"Inexperienced","Annually","Medium Term","True","Growth","Aggressive","Annually","Millennial",20.9,10,4,4,100,-2.9,-0.1,2,300000,-1.7
"Moderately Inexperienced","Quarterly","Short Term","True","Growth","Aggressive","Monthly","Millennial",4.6,1,1,10,50,0.9,5.4,0.4,190000,-2.4
"Inexperienced","Semiannually","Medium Term","True","Growth","Aggressive","Annually","Millennial",21.5,4,4,8,100,1.9,1.5,-0.5,300000,0
"Moderately Inexperienced","Semiannually","Medium Term","False","Balanced","Conservative","Quarterly","High Net Worth",16.6,12,0,7,70,-2.3,0.9,2.5,324700,3.2
"Inexperienced","Quarterly","Medium Term","False","Growth","Aggressive","Quarterly","Millennial",21.1,4,4,5,100,-1,6,1.9,300000,0.5
