Emission_Category,Energy_Consumption,Ground_Travel_Emissions_Category,Consumption_Type,City,RenewalEnergy,Vendor,Date,Business_Travel_Type,Emission_Type,Emission_Source,Country,Cost_Center_Name,Electricity_Consumption_Value,Energy_Consumption_Value,Emission_Value,Emissions_from_Business_Travel,GTE_Value,Carbon_Intensity
Vehicle,Solar,Rental Car,Electricity,San Fransisco ,True,Delta,2022-03-22,Private Jet,Hotel Stay,Vehicle,United States of America,General COO,2,0,500,31000,1000,0.69
Vehicle,Solar,,Electricity,Paris,True,Emirates,2022-01-19,Ground Travel,Air Travel,Vehicle,France,LATAM Sales,6,0,100,31000,,0.66
Vehicle,Solar,Taxi,Electricity,Tokyo,True,United Airlines,2021-04-13,Air Travel,Ground Travel,Vehicle,Japan,AMER HR,11,0,200,15000,1200,0.63
Equipment,Wind,,Electricity,New York,True,British Airways,2022-03-26,Private Jet,Equipment,Equipment,United States of America,General COO,18,0,400,31000,,0.24
Comercial Building,Cooling,,Electricity,San Fransisco ,False,Delta,2020-10-29,Air Travel,Comercial Building,Comercial Building,United States of America,LATAM Sales,19,0,400,7000,,0.4
Data Center Facility,Solar,,Electricity,Dublin,True,KLM,2022-03-31,Ground Travel,Data Center Facility,Equipment,Ireland,APAC Marketing,16,0,100,31000,,0.22
Travel,Heat,Taxi,Electricity,San Fransisco ,False,United Airlines,2020-03-09, Rental Car,Fleet Vehicle,Travel,United States of America,EMEA Sales,12,0,500,7000,900,0.64
Company Shuttle,Hydroelectricity,Subway,Electricity,Paris,True,Delta,2022-04-04,Ground Travel,Company Shuttle ,Travel,France,APAC Sales,21,0,100,31000,,0.47
Travel,Solar,,Electricity,Tokyo,True,United Airlines,2021-05-19,Private Jet,Other,Travel,Japan,APAC Sales,5,0,150,15000,,0.22
Vehicle,Natural Gas,Personal Car,Energy,New York,False,United Airlines,2022-04-10,Air Travel,Hotel Stay,Vehicle,United States of America,APAC Sales,0,7,400,31000,1500,0.63
Travel,Fuel Oil,,Energy,Tokyo,False,Delta,2021-08-15,Ground Travel,Private Jet,Travel,Japan,EMEA Sales,0,9,200,15000,,0.4
Vehicle,Solar,,Electricity,Paris,True,British Airways,2022-04-28,Air Travel,Air Travel,Vehicle,France,General COO,4,0,200,31000,,0.68
Data Center Facility,Wind,,Electricity,San Fransisco ,True,KLM,2020-06-08,Air Travel,Data Center Facility,Data Center Facility,United States of America,EMEA Sales,2,0,500,7000,,0.45
Travel,Diesel,Personal Car,Energy,New York,False,United Airlines,2022-01-28,Private Jet,Fleet Vehicle,Travel,United States of America,AMER Sales,0,1,400,31000,2300,0.42
Travel,Biomass,,Electricity,Tokyo,True,Delta,2020-07-19,Private Jet,Other,Travel,Japan,EMEA Sales,22,0,200,7000,,0.1
Comercial Building,Wind,,Electricity,San Fransisco ,True,Delta,2022-03-13, Rental Car,Comercial Building,Comercial Building,United States of America,EMEA Sales,1,0,500,31000,,0.61
Travel,Solar,,Electricity,San Fransisco ,True,United Airlines,2021-08-19,Air Travel,Private Jet,Travel,United States of America,APAC Sales,17,0,400,15000,,0.41
Equipment,Biomass,,Electricity,Paris,True,United Airlines,2022-02-14,Hotel Stay,Equipment,Equipment,France,APAC Sales,20,0,200,31000,,0.23
Vehicle,Biomass,Limousine,Electricity,Dublin,True,Delta,2021-06-11,Ground Travel,Hotel Stay,Vehicle,Ireland,EMEA Sales,19,0,150,15000,2000,0.66
Company Shuttle,Hydroelectricity,Subway,Electricity,New York,True,Emirates,2022-02-06,Ground Travel,Company Shuttle ,Travel,United States of America,AMER HR,7,0,400,31000,,0.42
Vehicle,Cooling,Personal Car,Electricity,Tokyo,False,United Airlines,2020-07-05,Ground Travel,Ground Travel,Vehicle,Japan,LATAM Sales,16,0,200,7000,1200,0.69
Travel,Fuel Oil,,Energy,San Fransisco ,False,British Airways,2022-03-05,Private Jet,Other,Travel,United States of America,EMEA Sales,0,1,500,31000,,0.65
Data Center Facility,Wind,,Electricity,San Fransisco ,True,KLM,2021-03-13,Air Travel,Data Center Facility,Equipment,United States of America,General COO,4,0,500,15000,,0.62
Vehicle,Solar,Taxi,Electricity,Paris,True,United Airlines,2022-03-16,Air Travel,Ground Travel,Vehicle,France,LATAM Sales,4,0,100,31000,1000,0.42
Vehicle,Solar,Subway,Electricity,Tokyo,True,Delta,2020-09-01,Ground Travel,Hotel Stay,Vehicle,Japan,APAC Sales,13,0,150,7000,2000,0.21
Comercial Building,Diesel,,Energy,New York,False,United Airlines,2022-03-18,Private Jet,Comercial Building,Comercial Building,United States of America,General COO,0,11,500,31000,,0.21
Travel,Biomass,Subway,Electricity,San Fransisco ,True,Delta,2020-03-31, Rental Car,Fleet Vehicle,Travel,United States of America,APAC Marketing,1,0,500,7000,900,0.47
Company Shuttle,Hydroelectricity,Personal Car,Electricity,Tokyo,True,British Airways,2021-09-29,Ground Travel,Company Shuttle ,Travel,Japan,EMEA Sales,2,0,200,15000,,0.44
Vehicle,Solar,,Electricity,San Fransisco ,True,United Airlines,2022-04-28,Private Jet,Air Travel,Vehicle,United States of America,APAC Sales,4,0,400,31000,,0.61
Equipment,Wind,,Electricity,Paris,True,United Airlines,2022-03-12,Air Travel,Equipment,Equipment,France,APAC Sales,4,0,100,31000,,0.69
Travel,Solar,,Electricity,New York,True,Delta,2022-03-05,Private Jet,Private Jet,Travel,United States of America,EMEA Sales,8,0,400,31000,,0.69
Equipment,Solar,,Electricity,Dublin,True,Delta,2020-09-15,Ground Travel,Equipment,Equipment,Ireland,EMEA Sales,21,0,100,7000,,0.01
Travel,Natural Gas,,Energy,New York,False,United Airlines,2022-03-18,Air Travel,Other,Travel,United States of America,General COO,0,8,400,31000,,0.43
Company Shuttle,Fuel Oil,Subway,Energy,San Fransisco ,False,Emirates,2021-11-18,Private Jet,Company Shuttle ,Travel,United States of America,EMEA Sales,0,5,500,15000,,0.41
Travel,Biomass,Taxi,Electricity,Dublin,True,Delta,2022-03-31,Air Travel,Fleet Vehicle,Travel,Ireland,APAC Sales,12,0,100,31000,900,0.28
Comercial Building,Solar,,Electricity,Paris,True,KLM,2020-01-07, Rental Car,Comercial Building,Comercial Building,France,EMEA Sales,22,0,100,7000,,0.68
Vehicle,Hydroelectricity,Personal Car,Electricity,Tokyo,True,British Airways,2021-01-02,Ground Travel,Ground Travel,Vehicle,Japan,EMEA Sales,23,0,400,15000,2300,0.64
Travel,Steam,,Electricity,San Fransisco ,False,United Airlines,2022-02-17,Air Travel,Private Jet,Travel,United States of America,APAC Sales,23,0,500,31000,,0.68
Vehicle,Diesel,Subway,Energy,Tokyo,False,Delta,2022-03-03,Private Jet,Hotel Stay,Vehicle,Japan,LATAM Sales,0,6,200,31000,1500,0.22
Data Center Facility,Solar,,Electricity,San Fransisco ,True,United Airlines,2021-04-21,Hotel Stay,Data Center Facility,Data Center Facility,United States of America,AMER HR,21,0,500,15000,,0.46
Vehicle,Biomass,,Electricity,Paris,True,United Airlines,2022-04-22,Air Travel,Air Travel,Vehicle,France,AMER Sales,10,0,200,31000,,0.02
Equipment,Wind,,Electricity,New York,True,British Airways,2020-01-01,Ground Travel,Equipment,Equipment,United States of America,EMEA Sales,18,0,400,7000,,0.66
Comercial Building,Solar,,Electricity,Tokyo,True,KLM,2022-01-20,Private Jet,Comercial Building,Comercial Building,Japan,APAC Sales,5,0,200,31000,,0.49
Data Center Facility,Solar,,Electricity,San Fransisco ,True,Delta,2020-07-01,Air Travel,Data Center Facility,Equipment,United States of America,EMEA Sales,20,0,400,7000,,0.61
Vehicle,Wind,,Electricity,Dublin,True,Delta,2022-02-26,Ground Travel,Air Travel,Vehicle,Ireland,General COO,10,0,150,31000,,0.1
Travel,Fuel Oil,,Energy,San Fransisco ,False,United Airlines,2021-09-13,Ground Travel,Private Jet,Travel,United States of America,APAC Marketing,0,4,500,15000,,0.67
Vehicle,Solar,Personal Car,Electricity,New York,True,United Airlines,2022-02-27,Private Jet,Ground Travel,Vehicle,United States of America,EMEA Sales,6,0,400,31000,2000,0.23
Travel,Biomass,,Electricity,Paris,True,United Airlines,2021-02-21,Air Travel,Other,Travel,France,EMEA Sales,13,0,100,15000,,0.63
Travel,Wind,Limousine,Electricity,San Fransisco ,True,Emirates,2020-03-20,Ground Travel,Fleet Vehicle,Travel,United States of America,EMEA Sales,4,0,500,7000,1000,0.44
Company Shuttle,Cooling,Rental Car,Electricity,New York,False,United Airlines,2022-03-29, Rental Car,Company Shuttle ,Travel,United States of America,LATAM Sales,13,0,500,31000,,0.43
Vehicle,Hydroelectricity,Subway,Electricity,Tokyo,True,British Airways,2022-03-09,Air Travel,Hotel Stay,Vehicle,Japan,APAC Sales,16,0,150,31000,1200,0.09
Vehicle,Solar,Personal Car,Electricity,San Fransisco ,True,Delta,2020-01-11,Ground Travel,Hotel Stay,Vehicle,United States of America,General COO,1,0,500,7000,900,0.62
Travel,Cooling,,Electricity,Tokyo,False,United Airlines,2021-05-19,Private Jet,Private Jet,Travel,Japan,APAC Sales,14,0,100,15000,,0.64
Vehicle,Diesel,Subway,Energy,Paris,False,KLM,2022-01-06,Private Jet,Ground Travel,Vehicle,France,APAC Sales,0,10,200,31000,1500,0.28
Company Shuttle,Solar,Taxi,Electricity,New York,True,United Airlines,2022-03-29,Air Travel,Company Shuttle ,Travel,United States of America,EMEA Sales,12,0,400,31000,,0.61
Travel,Biomass,,Electricity,San Fransisco ,True,Delta,2022-01-07,Ground Travel,Other,Travel,United States of America,EMEA Sales,16,0,400,31000,,0.49
Equipment,Natural Gas,,Energy,Dublin,False,Delta,2021-07-04, Rental Car,Equipment,Equipment,Ireland,EMEA Sales,0,7,100,15000,,0.42
Travel,Hydroelectricity,Personal Car,Electricity,New York,True,British Airways,2020-07-04,Air Travel,Fleet Vehicle,Travel,United States of America,General COO,4,0,400,7000,1000,0.61
Vehicle,Wind,,Electricity,Tokyo,True,Delta,2022-01-04,Hotel Stay,Air Travel,Vehicle,Japan,AMER HR,1,0,200,31000,,0.43
Data Center Facility,Solar,,Electricity,Paris,True,United Airlines,2022-01-02,Private Jet,Data Center Facility,Data Center Facility,France,LATAM Sales,7,0,100,31000,,0.44
Comercial Building,Geothermal,,Electricity,San Fransisco ,True,United Airlines,2020-02-17,Ground Travel,Comercial Building,Comercial Building,United States of America,APAC Sales,7,0,500,7000,,0.67
Equipment,Solar,,Electricity,New York,True,Delta,2022-04-20,Ground Travel,Equipment,Equipment,United States of America,EMEA Sales,1,0,400,31000,,0.2
Vehicle,Fuel Oil,Taxi,Energy,San Fransisco ,False,KLM,2021-04-09,Air Travel,Hotel Stay,Vehicle,United States of America,APAC Sales,0,13,500,15000,2000,0.44
Comercial Building,Solar,,Electricity,Dublin,True,Delta,2022-04-12,Air Travel,Comercial Building,Comercial Building,Ireland,LATAM Sales,15,0,150,31000,,0.6
Travel,Solar,,Electricity,Tokyo,True,United Airlines,2021-12-15,Private Jet,Other,Travel,Japan,General COO,1,0,150,15000,,0.65
Company Shuttle,Wind,Subway,Electricity,San Fransisco ,True,British Airways,2022-04-24,Private Jet,Company Shuttle ,Travel,United States of America,APAC Sales,13,0,500,31000,,0.63
Vehicle,Fuel Oil,Limousine,Energy,New York,False,United Airlines,2020-10-30,Ground Travel,Ground Travel,Vehicle,United States of America,APAC Marketing,0,2,400,7000,2300,0.46
Travel,Biomass,Subway,Electricity,Tokyo,True,Delta,2022-04-23,Air Travel,Fleet Vehicle,Travel,Japan,AMER Sales,3,0,200,31000,1500,0.61
Data Center Facility,Cooling,,Electricity,San Fransisco ,False,Emirates,2020-07-18, Rental Car,Data Center Facility,Equipment,United States of America,EMEA Sales,10,0,400,7000,,0.48
Travel,Solar,,Electricity,Paris,True,United Airlines,2021-07-25,Private Jet,Private Jet,Travel,France,APAC Sales,17,0,100,15000,,0.68
Vehicle,Solar,,Electricity,San Fransisco ,True,Delta,2022-01-08,Air Travel,Air Travel,Vehicle,United States of America,General COO,12,0,500,31000,,0.67
Travel,Hydroelectricity,,Electricity,New York,True,United Airlines,2022-03-27,Private Jet,Private Jet,Travel,United States of America,AMER HR,17,0,500,31000,,0.6
Vehicle,Solar,Taxi,Electricity,Tokyo,True,British Airways,2021-07-19,Ground Travel,Ground Travel,Vehicle,Japan,EMEA Sales,13,0,150,15000,900,0.29
Vehicle,Wind,Personal Car,Electricity,San Fransisco ,True,United Airlines,2020-10-16,Ground Travel,Hotel Stay,Vehicle,United States of America,EMEA Sales,6,0,500,7000,1000,0.66
Vehicle,Diesel,,Energy,Dublin,False,Delta,2022-03-29,Ground Travel,Air Travel,Vehicle,Ireland,APAC Sales,0,5,100,31000,,0.09
Comercial Building,Diesel,,Energy,Paris,False,United Airlines,2022-01-04,Private Jet,Comercial Building,Comercial Building,France,EMEA Sales,0,8,100,31000,,0.6
Travel,Solar,Personal Car,Electricity,New York,True,Delta,2021-03-11,Air Travel,Fleet Vehicle,Travel,United States of America,LATAM Sales,17,0,400,15000,2300,0.21
Company Shuttle,Wind,Personal Car,Electricity,Paris,True,KLM,2020-12-29,Air Travel,Company Shuttle ,Travel,France,EMEA Sales,22,0,200,7000,,0.47
Data Center Facility,Biomass,,Electricity,San Fransisco ,True,United Airlines,2022-01-10, Rental Car,Data Center Facility,Data Center Facility,United States of America,APAC Sales,5,0,500,31000,,0.42
Travel,Hydroelectricity,,Electricity,San Fransisco ,True,Emirates,2022-01-25,Private Jet,Other,Travel,United States of America,General COO,22,0,400,31000,,0.69
Equipment,Natural Gas,,Energy,New York,False,KLM,2022-01-14,Hotel Stay,Equipment,Equipment,United States of America,EMEA Sales,0,5,400,31000,,0.64
Travel,Solar,,Electricity,Tokyo,True,Delta,2020-06-24,Air Travel,Private Jet,Travel,Japan,EMEA Sales,3,0,200,7000,,0.45
Data Center Facility,Solar,,Electricity,Paris,True,British Airways,2022-03-21,Ground Travel,Data Center Facility,Equipment,France,APAC Sales,5,0,400,31000,,0.25
Equipment,Biomass,,Electricity,Tokyo,True,United Airlines,2021-05-18,Ground Travel,Equipment,Equipment,Japan,EMEA Sales,13,0,200,15000,,0.63
Vehicle,Heat,Subway,Electricity,San Fransisco ,False,Delta,2022-03-27,Air Travel,Hotel Stay,Vehicle,United States of America,General COO,3,0,500,31000,1200,0.44
Vehicle,Hydroelectricity,,Electricity,Dublin,True,United Airlines,2021-12-26,Private Jet,Air Travel,Vehicle,Ireland,EMEA Sales,9,0,150,15000,,0.04
Vehicle,Fuel Oil,Taxi,Energy,Tokyo,False,United Airlines,2022-03-13,Ground Travel,Ground Travel,Vehicle,Japan,APAC Sales,0,9,400,31000,1200,0.26
Travel,Fuel Oil,,Energy,San Fransisco ,False,Delta,2020-07-16,Air Travel,Other,Travel,United States of America,LATAM Sales,0,1,500,7000,,0.61
Company Shuttle,Diesel,Personal Car,Energy,Paris,False,United Airlines,2022-02-22,Ground Travel,Company Shuttle ,Travel,France,EMEA Sales,0,3,100,31000,,0.45
Travel,Biomass,Rental Car,Electricity,San Fransisco ,True,KLM,2020-01-03, Rental Car,Fleet Vehicle,Travel,United States of America,AMER HR,5,0,500,7000,2300,0.48
Comercial Building,Wind,,Electricity,Tokyo,True,Delta,2021-05-19,Private Jet,Comercial Building,Comercial Building,Japan,APAC Marketing,17,0,100,15000,,0.68
Travel,Biomass,,Electricity,New York,True,British Airways,2022-04-01,Private Jet,Other,Travel,United States of America,EMEA Sales,2,0,400,31000,,0.47
Equipment,Wind,,Electricity,Dublin,True,United Airlines,2022-03-30,Air Travel,Equipment,Equipment,Ireland,APAC Sales,4,0,100,31000,,0.27
Comercial Building,Cooling,,Electricity,San Fransisco ,False,Delta,2021-07-13,Private Jet,Comercial Building,Comercial Building,United States of America,EMEA Sales,15,0,400,15000,,0.62
Travel,Solar,Subway,Electricity,Paris,True,United Airlines,2022-02-07,Air Travel,Fleet Vehicle,Travel,France,APAC Sales,9,0,100,31000,2000,0.68
Vehicle,Hydroelectricity,,Electricity,New York,True,Delta,2020-03-02,Ground Travel,Air Travel,Vehicle,United States of America,EMEA Sales,7,0,400,7000,,0.47
Vehicle,Wind,Personal Car,Electricity,New York,True,British Airways,2022-02-11,Ground Travel,Ground Travel,Vehicle,United States of America,LATAM Sales,14,0,500,31000,900,0.25
Company Shuttle,Cooling,Subway,Electricity,San Fransisco ,False,United Airlines,2021-02-27,Hotel Stay,Company Shuttle ,Travel,United States of America,EMEA Sales,20,0,500,15000,,0.45
Vehicle,Solar,Subway,Electricity,Tokyo,True,United Airlines,2020-11-10,Private Jet,Hotel Stay,Vehicle,Japan,General COO,4,0,200,7000,1200,0.41
Data Center Facility,Solar,,Electricity,San Fransisco ,True,Delta,2022-03-17,Ground Travel,Data Center Facility,Equipment,United States of America,AMER Sales,2,0,500,31000,,0.68
Travel,Biomass,,Electricity,Tokyo,True,United Airlines,2022-01-12, Rental Car,Private Jet,Travel,Japan,EMEA Sales,4,0,150,31000,,0.2
Equipment,Solar,,Electricity,San Fransisco ,True,Emirates,2020-07-19,Air Travel,Equipment,Equipment,United States of America,General COO,6,0,500,7000,,0.43
Vehicle,Solar,Personal Car,Electricity,Paris,True,United Airlines,2021-10-25,Ground Travel,Ground Travel,Vehicle,France,APAC Sales,14,0,100,15000,2000,0.43
Travel,Wind,,Electricity,Dublin,True,KLM,2022-03-20,Air Travel,Other,Travel,Ireland,EMEA Sales,4,0,150,31000,,0.04
Comercial Building,Diesel,,Energy,New York,False,Delta,2022-04-05,Ground Travel,Comercial Building,Comercial Building,United States of America,LATAM Sales,0,7,400,31000,,0.67
Data Center Facility,Steam,,Electricity,San Fransisco ,False,Delta,2022-01-13,Air Travel,Data Center Facility,Data Center Facility,United States of America,EMEA Sales,2,0,400,31000,,0.68
Vehicle,Biomass,Taxi,Electricity,Tokyo,True,British Airways,2021-06-01,Private Jet,Hotel Stay,Vehicle,Japan,APAC Marketing,6,0,200,15000,1500,0.41
Company Shuttle,Fuel Oil,Limousine,Energy,New York,False,United Airlines,2022-02-03,Private Jet,Company Shuttle ,Travel,United States of America,General COO,0,5,400,31000,,0.63
Travel,Solar,,Electricity,Paris,True,KLM,2020-07-12,Air Travel,Private Jet,Travel,France,EMEA Sales,1,0,200,7000,,0.6
Travel,Wind,Subway,Electricity,San Fransisco ,True,Delta,2022-01-13,Private Jet,Fleet Vehicle,Travel,United States of America,AMER HR,17,0,500,31000,1500,0.63
Vehicle,Natural Gas,,Energy,Tokyo,False,Emirates,2021-02-08, Rental Car,Air Travel,Vehicle,Japan,LATAM Sales,0,4,200,15000,,0.02
Comercial Building,Solar,,Electricity,Paris,True,United Airlines,2020-04-03,Air Travel,Comercial Building,Comercial Building,France,APAC Sales,10,0,100,7000,,0.6
Vehicle,Diesel,,Energy,New York,False,United Airlines,2022-04-22,Ground Travel,Air Travel,Vehicle,United States of America,APAC Sales,0,7,400,31000,,0.47
Vehicle,Cooling,Personal Car,Electricity,Dublin,False,British Airways,2022-02-01,Ground Travel,Ground Travel,Vehicle,Ireland,APAC Sales,10,0,100,31000,1000,0.44
Travel,Biomass,,Electricity,Tokyo,True,United Airlines,2020-03-05,Private Jet,Private Jet,Travel,Japan,EMEA Sales,13,0,150,7000,,0.68
Travel,Hydroelectricity,Taxi,Electricity,New York,True,United Airlines,2021-07-22,Ground Travel,Fleet Vehicle,Travel,United States of America,General COO,4,0,400,15000,1200,0.27
Vehicle,Fuel Oil,Subway,Energy,San Fransisco ,False,Delta,2022-03-21,Private Jet,Hotel Stay,Vehicle,United States of America,APAC Sales,0,6,500,31000,1000,0.45
Company Shuttle,Wind,Personal Car,Electricity,San Fransisco ,True,Delta,2022-03-27,Hotel Stay,Company Shuttle ,Travel,United States of America,EMEA Sales,23,0,500,31000,,0.65
Travel,Hydroelectricity,,Electricity,Paris,True,United Airlines,2021-06-15,Ground Travel,Other,Travel,France,EMEA Sales,8,0,100,15000,,0.4
Equipment,Solar,,Electricity,San Fransisco ,True,Delta,2020-04-23,Air Travel,Equipment,Equipment,United States of America,APAC Sales,22,0,400,7000,,0.43
Data Center Facility,Solar,,Electricity,New York,True,KLM,2022-04-22,Private Jet,Data Center Facility,Equipment,United States of America,EMEA Sales,22,0,500,31000,,0.66
Vehicle,Biomass,Subway,Electricity,Tokyo,True,Delta,2022-01-03,Air Travel,Hotel Stay,Vehicle,Japan,AMER Sales,6,0,200,31000,900,0.68
Vehicle,Solar,,Electricity,San Fransisco ,True,British Airways,2020-08-13,Ground Travel,Air Travel,Vehicle,United States of America,General COO,1,0,500,7000,,0.66
Comercial Building,Wind,,Electricity,Paris,True,United Airlines,2021-05-31, Rental Car,Comercial Building,Comercial Building,France,APAC Sales,1,0,200,15000,,0.09
Company Shuttle,Solar,Rental Car,Electricity,Dublin,True,United Airlines,2022-04-01,Air Travel,Company Shuttle ,Travel,Ireland,AMER HR,4,0,100,31000,,0.24
Data Center Facility,Fuel Oil,,Energy,San Fransisco ,False,United Airlines,2022-02-14,Ground Travel,Data Center Facility,Data Center Facility,United States of America,LATAM Sales,0,7,500,31000,,0.4
Travel,Solar,,Electricity,Tokyo,True,Delta,2021-05-13,Private Jet,Other,Travel,Japan,APAC Marketing,6,0,200,15000,,0.48
Travel,Solar,Personal Car,Electricity,New York,True,Emirates,2022-04-13,Air Travel,Fleet Vehicle,Travel,United States of America,EMEA Sales,20,0,400,31000,2300,0.45
Equipment,Cooling,,Electricity,San Fransisco ,False,KLM,2020-06-12,Ground Travel,Equipment,Equipment,United States of America,EMEA Sales,3,0,500,7000,,0.65
Travel,Biomass,,Electricity,New York,True,British Airways,2022-02-02,Private Jet,Private Jet,Travel,United States of America,EMEA Sales,19,0,400,31000,,0.61
Vehicle,Wind,Taxi,Electricity,San Fransisco ,True,United Airlines,2022-02-13,Air Travel,Ground Travel,Vehicle,United States of America,LATAM Sales,5,0,400,31000,1500,0.69
Vehicle,Hydroelectricity,,Electricity,Tokyo,True,Delta,2021-05-22, Rental Car,Air Travel,Vehicle,Japan,APAC Sales,11,0,150,15000,,0.22
Travel,Natural Gas,Limousine,Energy,Dublin,False,Delta,2022-02-25,Ground Travel,Fleet Vehicle,Travel,Ireland,EMEA Sales,0,3,150,31000,1000,0.65
Company Shuttle,Diesel,Personal Car,Energy,San Fransisco ,False,United Airlines,2020-03-28,Air Travel,Company Shuttle ,Travel,United States of America,General COO,0,2,500,7000,,0.46
Travel,Solar,,Electricity,Tokyo,True,Delta,2022-01-20,Private Jet,Other,Travel,Japan,APAC Sales,10,0,200,31000,,0.67
Vehicle,Fuel Oil,Taxi,Energy,Paris,False,United Airlines,2020-07-27,Private Jet,Hotel Stay,Vehicle,France,EMEA Sales,0,4,100,7000,2300,0.27
Data Center Facility,Diesel,,Energy,San Fransisco ,False,British Airways,2021-06-11,Ground Travel,Data Center Facility,Equipment,United States of America,APAC Sales,0,1,500,15000,,0.69
Comercial Building,Biomass,,Electricity,Paris,True,KLM,2022-03-19,Air Travel,Comercial Building,Comercial Building,France,EMEA Sales,4,0,100,31000,,0.62
Vehicle,Wind,Subway,Electricity,New York,True,Delta,2022-04-14,Hotel Stay,Ground Travel,Vehicle,United States of America,APAC Sales,17,0,400,31000,2000,0.2
Equipment,Hydroelectricity,,Electricity,Tokyo,True,United Airlines,2021-02-19,Air Travel,Equipment,Equipment,Japan,EMEA Sales,6,0,150,15000,,0.42
Travel,Solar,,Electricity,New York,True,United Airlines,2022-02-09,Private Jet,Private Jet,Travel,United States of America,AMER HR,20,0,400,31000,,0.66
Vehicle,Solar,,Electricity,Paris,True,Delta,2020-03-03,Ground Travel,Air Travel,Vehicle,France,EMEA Sales,12,0,200,7000,,0.62
Vehicle,Solar,Personal Car,Electricity,Dublin,True,United Airlines,2022-04-03, Rental Car,Hotel Stay,Vehicle,Ireland,General COO,7,0,100,31000,1200,0.04
Data Center Facility,Hydroelectricity,,Electricity,New York,True,United Airlines,2021-05-02,Private Jet,Data Center Facility,Data Center Facility,United States of America,APAC Sales,1,0,500,15000,,0.49
Travel,Wind,,Electricity,San Fransisco ,True,British Airways,2022-01-04,Ground Travel,Private Jet,Travel,United States of America,General COO,14,0,500,31000,,0.44
Travel,Fuel Oil,Subway,Energy,San Fransisco ,False,United Airlines,2020-07-04,Air Travel,Fleet Vehicle,Travel,United States of America,LATAM Sales,0,8,400,7000,2000,0.67
Company Shuttle,Cooling,Subway,Electricity,Tokyo,False,Emirates,2022-04-11,Private Jet,Company Shuttle ,Travel,Japan,EMEA Sales,23,0,400,31000,,0.63
Equipment,Solar,,Electricity,San Fransisco ,True,KLM,2021-12-15,Air Travel,Equipment,Equipment,United States of America,APAC Sales,12,0,500,15000,,0.45
Travel,Solar,,Electricity,Tokyo,True,United Airlines,2020-06-17,Ground Travel,Other,Travel,Japan,APAC Marketing,11,0,200,7000,,0.27
Vehicle,Solar,Taxi,Electricity,Paris,True,Delta,2022-04-18,Ground Travel,Ground Travel,Vehicle,France,LATAM Sales,17,0,100,31000,900,0.45
Comercial Building,Wind,,Electricity,San Fransisco ,True,Delta,2022-03-14,Private Jet,Comercial Building,Comercial Building,United States of America,APAC Sales,18,0,500,31000,,0.63
Travel,Solar,,Electricity,New York,True,Delta,2022-03-02,Air Travel,Other,Travel,United States of America,EMEA Sales,21,0,400,31000,,0.4
Data Center Facility,Diesel,,Energy,Dublin,False,United Airlines,2021-05-30,Ground Travel,Data Center Facility,Equipment,Ireland,AMER Sales,0,2,150,15000,,0.03
Vehicle,Solar,Subway,Electricity,San Fransisco ,True,Delta,2020-10-29, Rental Car,Hotel Stay,Vehicle,United States of America,EMEA Sales,9,0,500,7000,1000,0.43
Vehicle,Solar,,Electricity,Tokyo,True,British Airways,2022-02-01,Air Travel,Air Travel,Vehicle,Japan,APAC Sales,22,0,200,31000,,0.08
Vehicle,Hydroelectricity,Personal Car,Electricity,New York,True,United Airlines,2022-02-16,Private Jet,Ground Travel,Vehicle,United States of America,EMEA Sales,10,0,400,31000,1500,0.29
Travel,Biomass,,Electricity,San Fransisco ,True,KLM,2021-11-05,Hotel Stay,Private Jet,Travel,United States of America,EMEA Sales,14,0,400,15000,,0.69
Company Shuttle,Natural Gas,Limousine,Energy,Paris,False,Emirates,2022-02-23,Private Jet,Company Shuttle ,Travel,France,EMEA Sales,0,7,100,31000,,0.62
Comercial Building,Solar,,Electricity,Tokyo,True,Delta,2020-08-12,Air Travel,Comercial Building,Comercial Building,Japan,AMER HR,2,0,100,7000,,0.68
Travel,Wind,Personal Car,Electricity,New York,True,United Airlines,2022-01-13,Air Travel,Fleet Vehicle,Travel,United States of America,EMEA Sales,16,0,400,31000,1200,0.61
Equipment,Fuel Oil,,Energy,Paris,False,United Airlines,2020-06-19,Ground Travel,Equipment,Equipment,France,LATAM Sales,0,8,200,7000,,0.41
Vehicle,Diesel,,Energy,San Fransisco ,False,Delta,2022-02-14,Private Jet,Air Travel,Vehicle,United States of America,APAC Sales,0,11,500,31000,,0.6
Vehicle,Biomass,Personal Car,Electricity,Dublin,True,British Airways,2021-08-06,Air Travel,Hotel Stay,Vehicle,Ireland,APAC Sales,16,0,100,15000,2000,0.27
Travel,Cooling,,Electricity,Tokyo,False,Delta,2022-03-11, Rental Car,Private Jet,Travel,Japan,EMEA Sales,7,0,150,31000,,0.47
Vehicle,Solar,Taxi,Electricity,New York,True,United Airlines,2020-07-04,Ground Travel,Ground Travel,Vehicle,United States of America,General COO,6,0,400,7000,2300,0.4
Travel,Biomass,Subway,Electricity,San Fransisco ,True,United Airlines,2022-03-02,Ground Travel,Fleet Vehicle,Travel,United States of America,General COO,13,0,500,31000,1000,0.46
Company Shuttle,Wind,Subway,Electricity,San Fransisco ,True,United Airlines,2021-02-27,Private Jet,Company Shuttle ,Travel,United States of America,APAC Marketing,14,0,500,15000,,0.69
