"Type_of_Waste","Scope","Category_of_Waste","LastProcessedDate","Treatment_Methods","Date","Scope_3_Upstream_Emissions","Waste_Quantity","Landfill_Waste","Scope_3_Downstream_Emissions","Scope_1_Emissions","Combustion_Waste"
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2023-10-12",,1000,97,,900,11
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2022-09-21",,1000,111,,,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-07-29",1125,1500,140,,,18
"Batteries","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-04-16",,500,108,2446,,28
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-04-16",,2000,97,,,10
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2020-04-05",,1500,140,,590,28
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-06-10",,1000,111,,760,15
"Aluminum Cans","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Composed","2023-11-24",,1500,97,1567,,18
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-08-14",1100,1500,108,,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-11-22",,1000,140,,850,15
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-02-04",,1500,111,2500,,11
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2022-09-20",1069,1500,97,,,18
"PVC","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-05-21",,500,108,3244,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-10-19",,2000,111,,,28
"Office Paper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Landfilled","2021-04-08",1069,1500,140,,,15
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-04-25",,1000,140,2500,,18
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2023-03-10",,2000,108,,760,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-11-26",,1500,97,,,28
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-09-22",,2000,111,1567,,11
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-12-11",1230,1000,108,,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-07-28",,2000,111,,590,10
"PET","Scope 1 Emissions","Hazardous","2023-02-24","Landfilled","2022-03-26",,1500,140,,850,28
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-01-21",,1500,97,,,15
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2022-04-22",1125,1500,140,,,18
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2021-03-26",,2000,108,,900,11
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-01-15",1100,1500,97,,,10
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-10-16",,1000,111,3244,,18
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-11-18",,1000,111,2446,,28
"Aluminum Cans","Scope 1 Emissions","Hazardous","2023-02-24","Combusted","2022-02-17",,2000,108,,,15
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-12-17",1100,1000,97,,,15
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-09-03",,1500,140,2500,,28
"Batteries","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-04-06",1230,500,140,,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Composed","2021-11-17",,1500,97,,850,18
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-09-01",,1500,111,,900,10
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-04-18",1125,1500,108,,,11
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-11-23",,2000,108,,,10
"Newspaper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2021-12-16",,1500,111,1567,,28
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-09-13",,1000,140,,,18
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2023-07-06",,1500,97,,760,15
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-02-05",,1500,108,,590,28
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-12-15",1069,2000,111,,,11
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-11-24",,500,97,2446,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-05-24",,1500,140,,,15
"Newspaper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Combusted","2022-03-17",,1500,140,3244,,18
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2021-07-10",1125,1000,97,,,28
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-03-17",,2000,111,2446,,15
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-08-21",1100,1500,108,,,18
"PVC","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2022-07-19",,500,108,,,10
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-09-14",,1000,97,2500,,11
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-07-08",,1500,140,,760,18
"Newspaper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Combusted","2020-07-07",1230,1000,111,,,15
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-07-11",,2000,108,,900,28
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-12-27",,2000,111,1567,,10
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-10-04",1069,1000,140,,,11
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-03-24",,500,97,,,28
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-02-26",,2000,111,,590,11
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-10-27",,1500,108,,,10
"Aluminum Cans","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Composed","2020-09-10",,1500,97,3244,,18
"Batteries","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-10-26",,500,140,,850,15
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-10-25",1100,1500,108,,,10
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-02-06",,1000,111,,,15
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-01-31",,2000,97,,760,11
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-03-15",1069,1500,140,,,18
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-03-24",,1500,140,,590,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-10-04",1125,1000,97,,,15
"Aluminum Cans","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2022-06-18",,1500,111,3244,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-12-13",,2000,108,,,18
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-07-14",,1000,108,2446,,28
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-10-31",1230,1500,111,,,11
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2021-09-13",,1500,97,1567,,11
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-02-05",,2000,140,,,15
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-12-03",,1500,97,,850,28
"Aluminum Cans","Scope 1 Emissions","Hazardous","2023-02-24","Landfilled","2020-01-23",,1500,140,,900,18
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-12-15",,1500,108,2500,,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-05-21",1100,1500,111,,,15
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-05-28",,1000,140,2500,,28
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2021-06-14",,2000,97,,900,10
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-06-27",1069,1500,111,,,11
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-08-04",,2000,108,,760,18
"PET","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2021-08-18",,1500,140,3244,,11
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-02-28",,1000,111,,,15
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-04-15",,2000,97,,,18
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-02-05",,1500,108,,850,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Composed","2021-10-15",1230,1000,111,,,28
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-05-17",,1000,108,,590,10
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-12-03",,1500,140,2446,,28
"Office Paper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Recycled","2022-06-04",1125,2000,97,,,11
"PVC","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-04-17",,500,108,,,15
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-09-17",,1500,111,1567,,18
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-04-19",1125,1500,140,,,15
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2020-07-14",,1500,97,2446,,10
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-05-21",,1500,111,,590,18
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-12-17",1230,2000,97,,,28
"Batteries","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2020-04-22",,500,140,,,11
"Office Paper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2021-08-25",,1500,108,2500,,15
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2022-01-07",1069,1000,140,,,11
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-06-13",,1000,97,,760,28
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-06-01",,2000,108,,,18
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-01-26",,1500,111,1567,,10
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-11-24",,1500,97,3244,,28
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-11-30",1100,1500,108,,,11
"Office Paper","Scope 1 Emissions","Hazardous","2023-02-24","Landfilled","2022-06-02",,1500,140,,900,15
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2021-03-19",,1500,111,,850,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-10-15",1125,2000,140,,,18
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-03-05",,1500,111,,,10
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-11-10",,1500,108,,760,28
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-11-20",,1000,97,,,11
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-07-11",,1500,111,,,15
"Office Paper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2023-12-31",,1000,140,3244,,18
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-02-23",,1500,108,,,28
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-11-04",1230,2000,97,,,15
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Composed","2022-12-23",,1500,111,,590,11
"Batteries","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2021-02-07",1100,500,97,,,18
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-05-13",,1000,108,1567,,10
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-11-30",,2000,140,2446,,28
"Aluminum Cans","Scope 1 Emissions","Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-02-09",,1000,140,,850,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2020-06-22",1069,2000,108,,,15
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-12-22",,1500,111,,900,11
"PVC","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-10-17",,500,97,2500,,18
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-04-20",1100,1500,108,,,10
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-06-13",,1500,140,,,18
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-08-02",,1500,111,,,11
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-01-31",,1000,97,,,28
"PET","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2020-04-10",,1000,111,2446,,15
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-05-16",1230,2000,97,,,15
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-01-11",,1000,108,,850,10
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-06-12",,1500,140,2500,,28
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-05-02",,2000,97,,760,18
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-08-04",1069,1500,111,,,11
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2020-06-10",,2000,108,,590,11
"Office Paper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2021-01-12",,1500,140,3244,,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-12-10",1125,1000,108,,,15
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2023-11-19",,1500,140,,900,18
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-08-03",,1500,97,1567,,28
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Composed","2021-05-21",1230,1500,111,,,15
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-10-25",,2000,108,2446,,18
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2022-11-08",,1500,97,,,11
"Office Paper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Recycled","2021-05-21",,2000,140,,,28
"Batteries","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-01-31",,500,111,3244,,10
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-09-16",,1000,97,,850,18
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-11-17",1125,1000,111,,,11
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-02-24",,1500,140,1567,,10
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2020-03-16",,500,108,,760,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-11-14",1069,1500,111,,,15
"Office Paper","Scope 1 Emissions","Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-09-01",,2000,140,,900,18
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2021-06-29",,1500,108,2500,,28
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-02-15",1100,1500,97,,,11
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2020-01-07",,1500,111,,590,15
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-02-22",1069,2000,108,,,10
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-07-13",,2000,97,,,15
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-03-08",,1000,140,,590,10
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-04-29",1100,1500,97,,,11
"Newspaper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2021-02-21",,1000,111,,,18
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-02-25",,2000,140,1567,,28
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-08-20",1230,1500,108,,,18
"PVC","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-03-12",,500,108,,850,11
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-05-17",,1000,140,2446,,28
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-10-26",,1500,97,,900,15
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-07-04",1125,1500,111,,,10
"Office Paper","Scope 1 Emissions","Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2023-10-13",,1500,108,,,28
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-04-23",,1500,97,3244,,15
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2022-01-17",,1500,140,,,11
"Batteries","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2021-06-01",,500,111,2500,,10
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-07-31",1069,1000,111,,,18
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Composed","2021-05-08",,1000,97,,760,10
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-12-18",,1500,108,1567,,15
"Office Paper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Landfilled","2023-10-06",,2000,140,,,11
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-02-09",,1500,140,,900,18
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2021-01-08",,2000,108,,850,28
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-11-29",1100,2000,111,,,11
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-02-14",,1000,97,,,15
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2022-12-08",,1500,97,,760,10
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-08-26",1125,2000,140,,,28
"Office Paper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2020-09-10",,1500,111,3244,,18
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2023-04-03",,1500,108,,,18
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-10-11",1230,1500,97,,,10
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-05-04",,1000,111,2500,,15
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-03-15",,1500,140,,590,28
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-11-19",1069,2000,108,,,11
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-09-01",,1500,108,2446,,18
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2021-08-05",,2000,140,2500,,11
"Office Paper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Recycled","2023-03-02",1230,1000,97,,,28
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-01-09",,1500,111,,590,10
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-07-13",,1500,140,,,15
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-05-26",1125,1000,111,,,18
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-10-30",,1500,108,3244,,28
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2020-10-29",,2000,97,,760,11
"PET","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Composed","2022-06-11",1100,1500,140,,,10
"Office Paper","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Recycled","2023-04-02",,2000,97,1567,,15
"PVC","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-09-27",,500,108,,900,18
"Batteries","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-10-25",,500,111,,,15
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-03-09",,500,97,2446,,10
"Office Paper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-07-02",,1500,111,,850,11
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2022-03-07",1069,1000,108,,,28
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-08-26",,1000,140,,,15
"Aluminum Cans","Scope 1 Emissions","Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2022-12-21",,1500,97,,850,10
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-03-02",,2000,140,3244,,18
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-07-07",1100,1500,108,,,11
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-10-16",,1000,111,,,28
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2023-01-12",1125,1500,140,,,10
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-11-02",,1500,97,,900,28
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2021-04-14",,1500,108,,760,11
"Aluminum Cans","Scope 3 Downstream Emissions","Hazardous","2023-02-24","Landfilled","2022-12-22",,1500,111,2500,,15
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Combusted","2022-08-12",1230,1000,111,,,18
"Aluminum Cans","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Dry Digestate)","2020-03-25",,2000,108,,,28
"Newspaper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-01-13",,1000,140,1567,,15
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Recycled","2023-12-13",,1500,97,,,10
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Combusted","2020-05-12",,2000,111,2446,,18
"Aluminum Cans","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2023-11-15",1125,1500,140,,,11
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2021-12-08",,1500,97,,590,18
"PET","Scope 1 Emissions","Hazardous","2023-02-24","Landfilled","2022-10-16",,1500,108,,,15
"Office Paper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Composed","2022-01-31",1230,1000,108,,,28
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2020-02-09",,2000,140,2500,,11
"Office Paper","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-03-21",,1500,111,,,10
"Newspaper","Scope 3 Upstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-03-19",1069,1500,97,,,28
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Anaerobically Digested (Wet Digestate)","2020-05-15",,2000,140,,590,15
"PET","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2023-01-31",,1500,108,3244,,10
"Office Paper","Scope 3 Upstream Emissions","Hazardous","2023-02-24","Recycled","2022-04-30",,1000,97,,,11
"PET","Scope 1 Emissions","Non-Hazardous","2023-02-24","Recycled","2021-11-08",,1500,111,,760,18
"Aluminum Cans","Scope 3 Downstream Emissions","Non-Hazardous","2023-02-24","Landfilled","2021-12-16",,2000,140,1567,,10
"Newspaper","Scope 1 Emissions","Non-Hazardous","2023-02-24","Combusted","2023-11-13",,1500,111,,850,28
