"GHG_Scope_3_Category","LastProcessedDate","Supplier","Date","Supplier_Expenses","Emission_Value","Ratio","Scope_3_Emissions","Vehicle_Emissions","Stationary_Sources_tCO2e","Other_Emissions"
"Business Travel","2023-03-24","JetBlue","2022-07-31",14730,234,7,2312,112,278,221
"Upstream Leased Assest","2023-03-24","Enterprise","2021-07-21",32171,123,5,1234,112,153,221
"Investments","2023-03-24","Advanced Communications","2020-07-17",12950,112,18,3421,234,322,355
"Business Travel","2023-03-24","Glasgow Water","2023-04-03",28357,112,18,2312,120,278,1234
"Upstream Transportation and Distribution","2023-03-24","Glasgow Catering","2022-02-23",19979,234,3,3112,412,123,345
"Downstream ","2023-03-24","RCE, Inc.","2019-09-20",28243,123,16,2207,234,153,221
"Upstream Leased Assest","2023-03-24","Avis","2019-11-16",38809,750,3,3112,412,322,345
"Investments","2023-03-24","Vand Enterprises, Inc.","2020-05-22",15149,112,16,1234,120,123,1234
"Capital Goods","2023-03-24","Constellation Energy","2023-03-21",20586,2200,13,3421,112,278,355
"Purchase Goods and Services","2023-03-24","Uber","2022-10-10",20505,800,3,2312,120,153,221
"Purchase Goods and Services","2023-03-24","Pinnacle Partners","2021-02-05",17125,750,12,2207,412,278,345
"Investments","2023-03-24","*Greenstone Products LTD","2019-08-15",19878,234,15,1234,234,123,1234
"Upstream Transportation and Distribution","2023-03-24","SoloTaxi","2023-04-14",30102,234,4,3421,112,322,355
"Downstream ","2023-03-24","Allied Technologies","2020-05-31",37698,112,3,2207,112,153,345
"Capital Goods","2023-03-24","Universal Containers","2022-10-24",42918,2200,10,3112,234,322,355
"Upstream Leased Assest","2023-03-24","Red Studio Designs","2021-01-16",30676,123,20,2312,412,123,1234
"Business Travel","2023-03-24","KLM","2023-03-14",31447,123,17,1234,120,278,221
"Capital Goods","2023-03-24","salesforce.com","2022-01-09",43058,2200,5,2312,412,322,355
"Business Travel","2023-03-24","Office Print & Ship Services","2020-01-24",22738,112,13,2207,234,153,221
"Investments","2023-03-24","Momentum Design","2019-06-05",36561,234,17,3421,120,278,345
"Purchase Goods and Services","2023-03-24","Budget","2021-03-01",30500,800,3,3112,112,123,1234
"Upstream Leased Assest","2023-03-24","Associated Supply Co.","2021-10-06",29264,750,7,2207,412,278,355
"Upstream Transportation and Distribution","2023-03-24","Roseburg Products Co","2020-10-18",28206,234,12,2312,112,123,221
"Downstream ","2023-03-24","SoloTaxi","2019-02-11",49050,112,8,3421,234,153,1234
"Purchase Goods and Services","2023-03-24","Hyatt","2023-09-17",29707,800,7,3112,120,322,345
"Investments","2023-03-24","Employnet","2022-11-03",44946,123,18,1234,112,322,221
"Downstream ","2023-03-24","Alamo","2020-08-27",31722,123,14,2207,234,278,1234
"Upstream Leased Assest","2023-03-24","Big Sky & Sons","2019-04-21",11977,234,2,3421,412,153,355
"Business Travel","2023-03-24","Xcel Energy","2023-07-04",21995,123,17,1234,120,123,345
"Capital Goods","2023-03-24","Hilton","2021-06-27",41974,2200,7,3112,412,322,345
"Upstream Transportation and Distribution","2023-03-24","*Greenstone Products LTD","2022-08-05",15204,234,5,2312,112,278,1234
"Purchase Goods and Services","2023-03-24","Valley Supply Inc.","2019-04-21",48250,800,17,2207,234,153,355
"Capital Goods","2023-03-24","Constellation Energy","2020-03-03",47019,2200,10,1234,120,123,221
"Business Travel","2023-03-24","Glasgow Catering","2021-06-05",23607,112,6,3421,412,123,345
"Investments","2023-03-24","Allied Technologies","2023-07-09",41040,112,11,3112,112,153,221
"Upstream Leased Assest","2023-03-24","IHG","2022-02-21",10766,750,7,2312,234,322,1234
"Downstream ","2023-03-24","Advanced Communications","2019-05-12",31188,234,11,2312,120,278,355
"Upstream Transportation and Distribution","2023-03-24","Good Freight Co","2023-10-25",27261,123,4,3421,120,153,345
"Downstream ","2023-03-24","Pinnacle Partners","2020-05-10",18992,112,2,2207,412,278,221
"Upstream Transportation and Distribution","2023-03-24","Test Supplier","2021-04-22",23715,123,18,3112,112,322,355
"Capital Goods","2023-03-24","Red Studio Designs","2022-06-03",10849,2200,3,1234,234,123,1234
"Purchase Goods and Services","2023-03-24","UlyssesNet","2023-11-14",30085,800,13,2312,120,123,1234
"Upstream Leased Assest","2023-03-24","Harmon Consulting","2022-09-08",49862,234,4,3112,112,322,221
"Investments","2023-03-24","General Utilities","2020-09-09",29202,123,4,3421,412,278,345
"Business Travel","2023-03-24","Five Winds Project, LLC","2019-11-08",26562,112,8,1234,234,153,355
"Business Travel","2023-03-24","Delta Airlines","2021-11-23",19517,112,7,2207,112,123,345
"Upstream Leased Assest","2023-03-24","CityCab","2020-09-16",46053,234,18,2312,120,322,355
"Investments","2023-03-24","Haven Enterprises","2019-02-20",45623,234,12,3421,234,278,1234
"Downstream ","2023-03-24","ABC Woodworks","2023-10-15",30175,123,5,1234,412,153,221
"Capital Goods","2023-03-24","Air France","2021-11-18",33428,2200,19,2207,412,123,1234
"Upstream Transportation and Distribution","2023-03-24","Glasgow Water","2022-04-12",16765,112,11,3112,234,322,355
"Purchase Goods and Services","2023-03-24","United Airline","2019-07-19",39978,800,9,1234,112,278,221
"Downstream ","2023-03-24","JetBlue","2023-09-25",38887,123,9,3112,120,153,345
"Capital Goods","2023-03-24","Atlas Inc","2022-06-29",22244,2200,2,2312,234,153,355
"Upstream Transportation and Distribution","2023-03-24","Uber","2020-10-27",35350,234,14,2207,120,123,345
"Investments","2023-03-24","Air Canada","2021-12-18",13757,112,8,3421,112,278,221
"Purchase Goods and Services","2023-03-24","Universal Containers","2023-01-20",38049,800,17,3112,412,322,1234
"Upstream Leased Assest","2023-03-24","Lyft","2022-08-08",16608,750,7,1234,120,278,221
"Business Travel","2023-03-24","RCE, Inc.","2020-10-02",23488,123,9,2207,412,123,1234
"Upstream Transportation and Distribution","2023-03-24","Hertz","2019-02-28",12650,112,7,3421,112,153,345
"Downstream ","2023-03-24","Avis","2021-03-02",28152,123,13,2312,234,322,355
"Business Travel","2023-03-24","Universal Services","2020-11-19",18270,234,4,2312,234,322,345
"Capital Goods","2023-03-24","Enterprise","2023-06-07",44282,2200,17,2207,412,123,355
"Purchase Goods and Services","2023-03-24","Meridian Partners","2019-11-12",41435,800,9,3112,112,153,221
"Investments","2023-03-24","Laine Ltd","2022-03-31",47707,234,3,3421,120,278,1234
"Upstream Leased Assest","2023-03-24","Southern Solutions","2021-01-23",37026,112,11,1234,234,278,355
"Upstream Leased Assest","2023-03-24","Tech Labs","2020-10-14",28558,123,17,3112,412,153,221
"Investments","2023-03-24","KLM","2019-12-05",16506,234,5,1234,120,123,345
"Downstream ","2023-03-24","Green Fields Media","2022-12-31",29560,112,17,2207,112,322,1234
"Capital Goods","2023-03-24","Vand Enterprises, Inc.","2023-07-02",46480,2200,11,2312,120,322,1234
"Upstream Transportation and Distribution","2023-03-24","British Airways","2021-04-09",32725,123,15,3421,112,278,345
"Purchase Goods and Services","2023-03-24","Marriott","2022-08-29",27233,750,13,1234,234,123,355
"Business Travel","2023-03-24","Gusto Sound and Audio","2021-12-20",19001,234,7,3421,412,153,221
"Upstream Leased Assest","2023-03-24","Lyft","2023-08-15",41505,750,15,3112,112,123,1234
"Business Travel","2023-03-24","Haven Enterprises","2019-03-29",12158,112,18,2207,120,322,345
"Downstream ","2023-03-24","Meridian Partners","2020-10-11",44004,123,18,2312,412,278,221
"Upstream Transportation and Distribution","2023-03-24","Advanced Communications","2020-06-11",48270,234,11,2207,234,153,355
"Purchase Goods and Services","2023-03-24","Universal Containers","2019-04-23",23072,800,1,1234,120,123,355
"Capital Goods","2023-03-24","*Greenstone Products LTD","2022-02-13",37682,2200,17,2312,234,153,1234
"Investments","2023-03-24","British Airways","2021-06-02",26885,750,16,3112,412,322,221
"Business Travel","2023-03-24","Delta Airlines","2023-10-25",46714,234,6,3421,112,278,345
"Investments","2023-03-24","SoloTaxi","2023-11-02",24163,123,13,2207,234,123,355
"Capital Goods","2023-03-24","JetBlue","2022-02-17",27247,2200,10,3421,120,278,221
"Upstream Transportation and Distribution","2023-03-24","Universal Services","2020-09-19",10472,112,17,3112,112,322,1234
"Downstream ","2023-03-24","Hilton","2021-01-23",17996,123,2,1234,412,153,345
"Purchase Goods and Services","2023-03-24","Gusto Sound and Audio","2019-03-29",25783,800,8,2312,412,278,1234
"Upstream Leased Assest","2023-03-24","Air Canada","2022-05-06",30118,234,1,3421,120,322,345
"Upstream Transportation and Distribution","2023-03-24","Constellation Energy","2020-09-08",46407,112,6,3112,234,153,221
"Purchase Goods and Services","2023-03-24","Roseburg Products Co","2021-02-02",10339,800,17,1234,112,123,355
"Investments","2023-03-24","Marriott","2023-11-27",42821,112,14,2312,112,123,1234
"Upstream Leased Assest","2023-03-24","Laine Ltd","2019-02-25",26681,234,3,2207,234,278,345
"Business Travel","2023-03-24","Momentum Design","2022-11-27",41058,123,11,2207,412,322,221
"Capital Goods","2023-03-24","Test Supplier","2019-07-18",32976,2200,15,3112,120,153,355
"Downstream ","2023-03-24","United Airline","2020-06-05",22385,112,12,2312,234,123,345
"Downstream ","2023-03-24","Air France","2023-07-27",16331,123,6,1234,112,322,355
"Capital Goods","2023-03-24","Vand Enterprises, Inc.","2021-02-09",42393,2200,13,3421,120,153,1234
"Upstream Leased Assest","2023-03-24","Good Freight Co","2019-12-29",31512,234,9,2207,412,278,221
"Upstream Transportation and Distribution","2023-03-24","Glasgow Catering","2021-08-24",44186,750,20,2312,112,123,221
"Purchase Goods and Services","2023-03-24","Tech Labs","2020-08-08",41460,800,17,3112,234,278,1234
"Business Travel","2023-03-24","Xcel Energy","2022-08-31",37548,234,8,3421,120,322,355
"Investments","2023-03-24","Enterprise","2023-10-19",42507,112,4,1234,412,153,345
"Upstream Leased Assest","2023-03-24","Employnet","2019-02-08",40778,112,8,1234,412,123,1234
"Investments","2023-03-24","Associated Supply Co.","2022-06-08",38372,123,18,3112,112,278,355
"Upstream Transportation and Distribution","2023-03-24","IHG","2020-05-06",15959,234,9,2207,234,322,221
"Downstream ","2023-03-24","Hertz","2023-09-20",48752,123,2,3421,120,153,345
"Business Travel","2023-03-24","Budget","2021-04-05",44759,112,5,2312,120,153,355
"Purchase Goods and Services","2023-03-24","RCE, Inc.","2021-07-15",45995,800,7,3421,234,123,1234
"Capital Goods","2023-03-24","UlyssesNet","2020-09-19",30432,2200,3,2312,112,278,221
"Investments","2023-03-24","General Utilities","2019-12-05",28425,123,5,3112,412,322,345
"Upstream Transportation and Distribution","2023-03-24","Five Winds Project, LLC","2023-02-16",43134,234,10,2207,234,123,1234
"Upstream Leased Assest","2023-03-24","Alamo","2022-06-13",25708,750,14,1234,120,153,221
"Downstream ","2023-03-24","Atlas Inc","2022-11-24",33921,112,11,3112,112,322,345
"Purchase Goods and Services","2023-03-24","Allied Technologies","2023-02-20",37715,800,3,2207,412,278,355
"Capital Goods","2023-03-24","Red Studio Designs","2021-05-26",47187,2200,6,3421,234,153,221
"Business Travel","2023-03-24","KLM","2019-05-01",23025,123,15,2312,112,322,355
"Upstream Leased Assest","2023-03-24","Hyatt","2020-06-16",19879,112,16,1234,412,123,1234
"Business Travel","2023-03-24","Uber","2021-06-19",20369,123,15,3112,120,278,345
"Downstream ","2023-03-24","salesforce.com","2023-09-13",14670,234,10,2207,234,123,1234
"Purchase Goods and Services","2023-03-24","Big Sky & Sons","2019-05-29",42950,800,9,1234,120,322,221
"Capital Goods","2023-03-24","Green Fields Media","2022-02-05",23510,2200,5,3421,412,278,355
"Upstream Transportation and Distribution","2023-03-24","Avis","2020-09-05",39795,234,13,2312,112,153,345
