"Fuel_Type","AccountId","Asset_Category","Asset","AssetExternalId","AccountExternalId","Asset_Type","CountryCode","LastProcessedDate","Date","Business_Region","AssetId","AccountName","Carbon_Inventory","Energy_Usage_kBtu_sq_ft","Electricity_Usage_Previous","Electricity_Usage_kWh_m2","Total_Energy_Consumption_kWh","Electricity_Usage_Current","Scope_3_Emissions","Annual_Energy_Intensity_Variance","Energy_Consumption_Intensity_kWh_m2","Total_Renewable_Energy_kWh","Electricity_Usage_kWh_sq_ft","Fuel_Consumption_Liters","Scope_1_Scope_2_Location_Emissions","Total_Diesel_Consumption","Non_Renewal_Resources","Energy_Emissions","Scope_1_Scope_2_Market_Emissions","Annual_Electricity_Intensity_Variance","Electricity_Cons_Intensity_kWh_m2","Total_Fuel_Oil_Consumption","Energy_Consumption","Data_Center_PUE_current","Total_Natural_Gas_consumption_kWh","Renewal_Resources","Total_Steam_Consumption","Data_Center_PUE_previous","Emissions_from_Stationary_Sources","Total_Building_Area","Energy_Usage_kBtu_m2","High_Outliers","Scope_1_Emissions_tCO2e","Fuel_Consumption_Gallons","Low_Outliers","Total_Allocation_Renewable_Energy"
"Cooling",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","JPN","2023-09-18","2023-09-07","North America",,,94,4725,350000,29,135000,250000,67688,23,2.52,48214,312,3560,43566,100000,15000000,541,22345,3,5.15,16288,5246,66544,72005,31023124,454000,12454,2570,16000,439,10,15000,941,3.9,33750
"FuelOil",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","JPN","2023-09-18","2020-12-19","LATAM",,,58,570,350000,4,135000,150000,76855,4,2.52,57857,43,3139,23454,100000,17000000,1292,22345,3,5.15,15518,7424,66544,87923,35000000,416000,53423,7627,2094000,53,10,21323,829,5.1,40500
"Heat",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","GBR","2023-09-18","2021-08-20","ANZ",,,85,2842,350000,24,120000,250000,76855,16,5.99,42857,258,3560,43566,100000,14000000,922,22345,6,12.14,13377,5891,66544,19576,31023124,496000,53423,18792,27000,264,10.7,15000,941,5.9,30000
"Propane",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","CAN","2023-09-18","2021-01-21","LATAM",,,53,4575,400000,20,154000,150000,56634,24,2.68,33000,215,500,23454,100000,17000000,995,34543,7,5.4,12971,8158,34124,36037,35000000,430000,53423,19116,3385000,425,14.2,18608,132,1.9,23100
"FuelOil",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","BRA","2023-09-18","2021-05-03","ANZ",,,89,517,250000,4,135000,150000,76855,10,1.05,48214,43,3139,34345,150000,14000000,1186,21234,3,2.13,19325,9631,66544,47486,29000000,475000,12454,15517,2149000,48,10.3,15000,829,2.2,33750
"Heat",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","SGP","2023-09-18","2020-03-31","Central America",,,57,3972,400000,29,120000,150000,67688,3,0.42,25714,312,3139,34345,100000,17000000,2179,34543,7,0.85,15614,7773,34124,99247,29000000,485000,12454,6183,15000,369,13.3,21323,829,3,18000
"Diesel",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","IRL","2023-09-18","2023-08-31","Middle East",,,90,2583,400000,4,120000,350000,67688,14,0.01,34286,43,3560,34345,100000,15000000,1672,22345,4,0.02,13341,3246,45443,14484,29000000,466000,53423,4398,34000,240,11.1,18608,941,3.9,24000
"Diesel",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","IRL","2023-09-18","2023-11-16","Europe",,,37,4725,250000,27,154000,300000,56634,12,0.01,44000,291,3560,43566,123678,14000000,519,22345,3,0.02,16669,4000,66544,61857,29000000,402000,12354,8453,3343000,439,11.5,18608,941,3.9,30800
"Diesel",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","FRA","2023-09-18","2023-10-03","South America",,,84,2971,250000,10,135000,350000,56634,30,3.39,28929,108,3560,34345,100000,15000000,2263,34543,4,6.87,11955,8989,45443,57832,29000000,433000,12354,19770,33000,276,14.4,21323,941,3.4,20250
"Refrigerant",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","GBR","2023-09-18","2021-06-02","Central America",,,97,4693,400000,26,135000,150000,67688,22,5.99,38571,280,3139,43566,123678,15000000,844,21234,4,12.14,19644,4675,34124,19508,29000000,432000,53423,15925,3251000,436,10.6,18608,829,4.9,27000
"Heat",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","ARG","2023-09-18","2023-08-28","EMEA",,,100,657,350000,19,135000,300000,67688,28,0.19,28929,205,3139,23454,100000,15000000,2084,22345,10,0.37,11399,4685,45443,68605,29000000,499000,12354,9667,3232000,61,10.1,21323,829,3.1,20250
"Steam",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","USA","2023-09-18","2021-09-14","ANZ",,,64,624,400000,15,120000,150000,67688,15,0.24,34286,161,3560,34345,123678,15000000,762,34543,8,0.59,19234,7572,45443,58748,29000000,399000,53423,16072,16000,58,12.5,15000,941,2.9,24000
"FuelOil",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","ARG","2023-09-18","2020-01-11","APAC",,,91,323,350000,9,154000,300000,67688,29,0.19,44000,97,3560,43566,100000,15000000,1867,22345,6,0.37,13148,6524,66544,81086,35000000,392000,12454,3245,2142000,30,13.9,21323,941,4.4,30800
"Steam",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","MAR","2023-09-18","2023-04-06","Europe",,,36,4047,450000,6,154000,250000,56634,8,0.22,66000,65,3560,43566,150000,15000000,2115,34543,5,0.45,15458,7305,45443,94979,35000000,500000,12354,17168,34000,376,12.3,21323,941,0.6,46200
"Refrigerant",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","CAN","2023-09-18","2022-07-15","ANZ",,,51,4370,350000,24,154000,250000,76855,28,2.68,33000,258,3139,23454,123678,15000000,600,22345,6,5.4,17934,7452,45443,13237,29000000,440000,12354,88393,3333000,406,12.7,18608,829,0.8,23100
"Diesel",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","AUS","2023-09-18","2023-05-30","APAC",,,46,1313,400000,30,120000,150000,67688,12,4.19,25714,323,3560,43566,100000,14000000,649,34543,10,8.45,18544,4022,66544,72225,31023124,400000,12454,4425,26000,122,10.6,18608,941,0.2,18000
"Natural Gas",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","MAR","2023-09-18","2023-10-19","South America",,,35,3531,450000,4,120000,250000,56634,6,0.22,42857,43,3560,23454,123678,15000000,725,22345,9,0.45,14026,5854,45443,43454,35000000,477000,53423,15077,24000,328,14,21323,941,1,30000
"Cooling",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","CHN","2023-09-18","2021-04-02","Central America",,,89,1582,400000,19,120000,250000,67688,30,3.2,42857,205,3139,43566,150000,14000000,2091,34543,3,3.12,18285,3777,34124,99558,35000000,393000,12454,17413,27000,147,10,18608,829,3.5,30000
"Diesel",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","ARG","2023-09-18","2020-01-20","Central Asia",,,67,635,300000,1,135000,250000,76855,15,0.19,38571,11,3139,23454,150000,14000000,2244,22345,6,0.37,18508,9257,45443,10057,31023124,494000,53423,16067,2890000,59,14.7,15000,829,3,27000
"FuelOil",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","FRA","2023-09-18","2022-07-17","Southeast Asia",,,40,2616,250000,3,135000,350000,56634,15,3.39,48214,32,3139,34345,150000,14000000,612,22345,8,6.87,12821,6765,45443,45364,29000000,400000,53423,19421,2189000,243,15,18608,829,2.6,33750
"Diesel",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","SGP","2023-09-18","2021-04-21","APAC",,,84,2002,250000,17,135000,350000,56634,13,0.42,57857,183,3139,43566,100000,17000000,1539,22345,3,0.85,18645,3721,34124,24951,31023124,435000,53423,15642,10000,186,11.2,21323,829,0.2,40500
"Natural Gas",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","IRL","2023-09-18","2020-10-03","ANZ",,,32,581,450000,7,154000,350000,67688,15,0.01,66000,75,3560,34345,100000,15000000,518,22345,8,0.02,11763,6585,66544,41567,29000000,415000,12454,18658,10000,54,14.4,15000,941,1.3,46200
"Natural Gas",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","ARG","2023-09-18","2022-03-12","South America",,,53,1464,300000,1,120000,250000,56634,7,0.19,51429,11,3139,34345,100000,17000000,1745,21234,9,0.37,19303,7668,45443,11703,35000000,389000,12354,7825,33000,136,11.8,15000,829,1.9,36000
"Refrigerant",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","AUS","2023-09-18","2023-07-03","Central America",,,45,280,350000,17,120000,150000,76855,8,4.19,34286,183,3560,34345,100000,14000000,2162,22345,3,8.45,11690,6630,66544,16373,31023124,469000,12354,6071,11000,26,11.3,15000,941,2.4,24000
"Propane",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","SGP","2023-09-18","2022-03-31","Central Asia",,,91,474,400000,27,154000,300000,76855,27,0.42,55000,291,3139,34345,123678,17000000,340,22345,8,0.85,13203,8629,34124,81524,29000000,353000,12354,17517,2615000,44,14.6,18608,829,1.6,38500
"Cooling",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","BRA","2023-09-18","2023-07-12","LATAM",,,67,4833,350000,6,120000,250000,67688,10,1.05,51429,65,3560,34345,150000,14000000,1570,21234,3,2.13,12161,6765,45443,20829,29000000,380000,53423,15813,2776000,449,14.1,18608,941,0.2,36000
"Diesel",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","CAN","2023-09-18","2023-04-21","EMEA",,,83,2013,350000,26,135000,350000,76855,14,2.68,57857,280,3560,34345,100000,15000000,460,22345,5,5.4,11545,6163,45443,43695,29000000,410000,12454,9269,18000,187,10.3,18608,941,4.5,40500
"Cooling",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","IND","2023-09-18","2020-01-29","Central America",,,35,291,250000,30,154000,300000,76855,27,4.97,55000,323,3560,23454,100000,17000000,803,21234,7,10.02,12745,6064,66544,53401,29000000,430000,53423,8828,32000,27,13.3,21323,941,2.7,38500
"Cooling",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","CHN","2023-09-18","2021-07-13","North America",,,56,2002,250000,24,120000,300000,67688,18,3.2,25714,258,3560,43566,123678,15000000,1951,34543,7,3.12,19420,8818,45443,39952,29000000,350000,12354,18322,30000,186,12.2,15000,941,4,18000
"FuelOil",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","CAN","2023-09-18","2023-12-24","APAC",,,37,3380,400000,26,154000,350000,56634,30,2.68,55000,280,3139,23454,123678,15000000,1486,21234,10,5.4,11601,5358,34124,74029,31023124,412000,12454,17300,3172000,314,14.9,15000,829,5.1,38500
"Refrigerant",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","FRA","2023-09-18","2020-02-24","Middle East",,,68,4402,250000,19,120000,150000,76855,4,3.39,51429,205,3560,34345,123678,14000000,1993,34543,8,6.87,15065,8725,45443,15640,31023124,368000,12454,7658,30000,409,12,18608,941,0.1,36000
"Refrigerant",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","BRA","2023-09-18","2023-09-22","APAC",,,85,398,250000,28,154000,300000,76855,17,1.05,55000,301,3560,34345,123678,14000000,1931,22345,6,2.13,18604,3309,34124,51951,35000000,494000,12354,8467,2209000,37,11.4,15000,941,5.4,38500
"FuelOil",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","JPN","2023-09-18","2023-01-03","LATAM",,,85,1948,350000,22,154000,250000,67688,26,2.52,66000,237,3560,43566,100000,17000000,2267,34543,3,5.15,18788,4697,45443,53026,31023124,371000,12354,16813,2640000,181,14.4,15000,941,1,46200
"FuelOil",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","BRA","2023-09-18","2020-09-30","Middle East",,,96,1733,350000,14,120000,250000,76855,2,1.05,25714,151,3560,43566,150000,17000000,2033,21234,10,2.13,10446,9621,66544,47906,31023124,412000,12454,16161,2649000,161,11.5,15000,941,5.1,18000
"Cooling",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","GBR","2023-09-18","2022-10-20","North America",,,100,1141,400000,21,120000,350000,56634,16,5.99,51429,226,3139,34345,100000,17000000,2245,21234,3,12.14,18159,9064,34124,72521,35000000,370000,53423,15870,3109000,106,14.3,18608,829,5.8,36000
"Steam",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","AUS","2023-09-18","2020-08-14","South America",,,60,344,400000,17,120000,250000,67688,26,4.19,34286,183,3560,43566,150000,15000000,1493,21234,10,8.45,17713,4113,66544,41730,29000000,441000,12354,16637,24000,32,14,18608,941,5.6,24000
"Propane",,"Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","VDO.018",,"Fleet Vehicle","FRA","2023-09-18","2021-01-28","ANZ",,,71,1550,350000,27,135000,300000,56634,15,3.39,57857,291,500,23454,123678,17000000,395,21234,10,6.87,14286,5725,45443,31209,29000000,404000,53423,19606,14000,144,11.8,15000,132,3.5,40500
"Natural Gas","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2020-04-09","ANZ","0phB00000004MzkIAE","Yubo Corporation",73,2508,350000,6,135000,150000,67688,6,0.42,48214,65,3139,43566,100000,17000000,344,22345,9,0.85,10142,9409,45443,59463,31023124,481000,12454,97154,17000,233,14.6,18608,829,1,33750
"Diesel","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2022-09-10","ANZ","0phB00000004MzkIAE","Yubo Corporation",86,1636,350000,11,154000,300000,76855,8,0.42,33000,118,3139,43566,150000,15000000,1126,21234,4,0.85,10736,4898,45443,66926,31023124,398000,12454,85357,12000,152,10,50000,829,1.7,23100
"Diesel","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2020-04-04","ANZ","0phB00000004MzkIAE","Yubo Corporation",86,3466,400000,8,154000,350000,76855,29,0.42,44000,86,3139,43566,123678,15000000,849,21234,6,0.85,16186,3378,66544,43068,29000000,399000,12454,92782,27000,322,10.9,15000,829,5.2,30800
"Diesel","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2022-01-20","ANZ","0phB00000004MzkIAE","Yubo Corporation",69,3843,250000,24,154000,350000,76855,16,0.42,66000,258,3139,34345,100000,17000000,1682,22345,7,0.85,17457,4819,45443,77583,35000000,417000,12354,86950,2453000,357,10.8,50000,829,4.2,46200
"Steam","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2020-10-05","ANZ","0phB00000004MzkIAE","Yubo Corporation",78,4026,450000,5,135000,250000,67688,1,0.42,28929,54,3139,23454,100000,17000000,399,21234,7,0.85,19130,9483,66544,88612,31023124,404000,12454,83141,3424000,374,13.1,18608,829,4.4,20250
"Propane","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2020-01-28","ANZ","0phB00000004MzkIAE","Yubo Corporation",68,904,350000,22,154000,150000,76855,28,0.42,44000,237,500,34345,123678,14000000,2259,22345,6,0.85,16195,9060,66544,48895,31023124,393000,12454,73357,2258000,84,10.4,21323,132,3.1,30800
"Diesel","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2021-03-10","ANZ","0phB00000004MzkIAE","Yubo Corporation",44,4392,350000,16,135000,250000,76855,27,0.42,38571,172,3560,23454,100000,14000000,586,22345,10,0.85,11330,6906,34124,95961,31023124,498000,12454,4776,2304000,408,14.5,18608,941,3.5,27000
"Refrigerant","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2023-09-10","ANZ","0phB00000004MzkIAE","Yubo Corporation",81,2863,250000,22,135000,150000,76855,4,0.42,38571,237,3139,23454,150000,17000000,1462,21234,5,0.85,11764,8332,45443,39634,31023124,480000,12354,83379,2607000,266,13.9,21323,829,1.9,27000
"Electricity","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2022-06-24","ANZ","0phB00000004MzkIAE","Yubo Corporation",77,1636,450000,26,135000,250000,76855,4,0.42,48214,280,3139,43566,123678,14000000,927,22345,10,0.85,10534,9268,45443,50479,31023124,451000,12354,85483,12000,152,10.1,50000,829,2.5,33750
"Propane","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2022-01-18","ANZ","0phB00000004MzkIAE","Yubo Corporation",76,3767,350000,15,135000,250000,56634,21,0.42,48214,161,3139,23454,150000,17000000,806,22345,6,0.85,12472,5514,45443,90415,35000000,496000,12454,87420,3378000,350,12,50000,829,1.3,33750
"Diesel","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2023-12-27","ANZ","0phB00000004MzkIAE","Yubo Corporation",62,2960,350000,26,135000,250000,76855,7,0.42,48214,280,3139,23454,100000,15000000,1718,34543,5,0.85,10528,6465,66544,26014,35000000,355000,12454,83721,35000,275,12.3,15000,829,0.6,33750
"FuelOil","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2022-08-05","ANZ","0phB00000004MzkIAE","Yubo Corporation",77,1862,400000,7,154000,300000,76855,14,0.42,55000,75,3139,23454,123678,17000000,1220,21234,10,0.85,18654,8016,34124,51567,35000000,398000,12354,97588,3241000,173,14.3,50000,829,2.9,38500
"Natural Gas","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2020-06-23","ANZ","0phB00000004MzkIAE","Yubo Corporation",82,1690,350000,25,154000,150000,67688,4,0.42,55000,269,3560,23454,100000,15000000,1369,22345,5,0.85,16025,7152,66544,30391,35000000,454000,53423,82092,2179000,157,14,18608,941,2.6,38500
"Refrigerant","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2021-04-01","ANZ","0phB00000004MzkIAE","Yubo Corporation",81,4532,400000,24,135000,250000,67688,6,0.42,38571,258,3560,23454,100000,14000000,1294,22345,5,0.85,14587,5216,34124,16785,35000000,364000,12354,71896,2449000,421,10,18608,941,2.3,27000
"Cooling","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2021-12-09","ANZ","0phB00000004MzkIAE","Yubo Corporation",95,2788,400000,13,120000,300000,67688,12,0.42,51429,140,3139,43566,100000,15000000,386,34543,8,0.85,19178,7977,66544,80763,31023124,382000,53423,75465,2825000,259,12.6,21323,829,1.1,36000
"Propane","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2020-03-19","ANZ","0phB00000004MzkIAE","Yubo Corporation",93,4252,400000,27,120000,300000,67688,26,0.42,25714,291,3139,34345,123678,15000000,1775,22345,6,0.85,19339,4052,34124,76657,31023124,371000,53423,75753,31000,395,10.2,15000,829,5.5,18000
"FuelOil","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2023-05-29","ANZ","0phB00000004MzkIAE","Yubo Corporation",38,1055,400000,21,135000,350000,76855,2,0.42,48214,226,3560,34345,150000,14000000,1918,22345,7,0.85,12645,9928,34124,67570,31023124,416000,12454,16421,19000,98,12,18608,941,4.1,33750
"Steam","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2023-05-12","ANZ","0phB00000004MzkIAE","Yubo Corporation",66,3692,400000,20,154000,250000,76855,28,0.42,44000,215,3560,34345,150000,15000000,456,21234,3,0.85,15606,3800,45443,37935,35000000,453000,12354,97380,32000,343,13.8,15000,941,5,30800
"Natural Gas","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2022-06-12","ANZ","0phB00000004MzkIAE","Yubo Corporation",33,4833,400000,7,135000,250000,67688,29,0.42,28929,75,3139,43566,150000,14000000,1015,22345,8,0.85,19429,7267,66544,40410,29000000,490000,53423,15417,2216000,449,12.7,50000,829,4.9,20250
"Heat","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2020-07-13","ANZ","0phB00000004MzkIAE","Yubo Corporation",91,3261,350000,6,120000,250000,76855,2,0.42,25714,65,3560,43566,123678,14000000,2024,21234,6,0.85,17446,4006,66544,65931,31023124,378000,12354,97257,2849000,303,14.5,15000,941,1.6,18000
"FuelOil","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2023-10-17","ANZ","0phB00000004MzkIAE","Yubo Corporation",36,1884,350000,22,120000,300000,67688,12,0.42,25714,237,3560,43566,100000,15000000,991,22345,4,0.85,12312,7017,66544,33729,35000000,440000,53423,84787,30000,175,11,18608,941,0.6,18000
"Natural Gas","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2023-08-15","ANZ","0phB00000004MzkIAE","Yubo Corporation",82,301,350000,29,154000,300000,76855,1,0.42,55000,312,3560,43566,150000,15000000,1186,21234,7,0.85,17777,5184,34124,91426,29000000,399000,12354,18090,2031000,28,12.3,18608,941,5.1,38500
"Heat","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2023-08-24","ANZ","0phB00000004MzkIAE","Yubo Corporation",89,1615,250000,5,120000,250000,56634,20,0.42,51429,54,3560,34345,123678,15000000,670,34543,3,0.85,19242,6233,66544,67080,31023124,408000,12454,81788,20000,150,12.4,18608,941,5.9,36000
"Steam","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2021-07-06","ANZ","0phB00000004MzkIAE","Yubo Corporation",50,2562,300000,3,135000,250000,76855,8,0.42,57857,32,3560,34345,150000,15000000,1882,34543,3,0.85,16521,3076,66544,41118,35000000,418000,53423,87871,3410000,238,12.3,15000,941,1.9,40500
"Electricity","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2023-01-01","ANZ","0phB00000004MzkIAE","Yubo Corporation",61,2185,450000,9,120000,300000,76855,5,0.42,34286,97,3560,43566,123678,17000000,1915,34543,10,0.85,10457,6656,34124,25435,35000000,377000,12454,84510,2347000,203,10.7,21323,941,3.5,24000
"Heat","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2022-11-26","ANZ","0phB00000004MzkIAE","Yubo Corporation",57,1830,350000,9,135000,250000,76855,12,0.42,28929,97,3139,43566,123678,14000000,480,21234,10,0.85,17178,3786,45443,43144,31023124,353000,53423,80665,34000,170,14.6,50000,829,5.8,20250
"Diesel","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2020-09-27","ANZ","0phB00000004MzkIAE","Yubo Corporation",67,2820,400000,10,154000,350000,56634,12,0.42,55000,108,500,23454,100000,14000000,2201,34543,5,0.85,17155,9463,34124,66436,31023124,392000,12354,2914,3210000,262,13,18608,132,5,38500
"Steam","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2021-10-22","ANZ","0phB00000004MzkIAE","Yubo Corporation",32,4661,450000,12,135000,350000,67688,4,0.42,38571,129,3560,43566,150000,15000000,2221,21234,7,0.85,15512,3223,34124,50421,29000000,443000,12354,7857,35000,433,11,18608,941,5.3,27000
"Natural Gas","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2020-12-17","ANZ","0phB00000004MzkIAE","Yubo Corporation",67,1830,400000,10,135000,250000,76855,12,0.42,38571,108,3560,34345,150000,15000000,2108,34543,6,0.85,19063,9914,66544,50629,29000000,436000,53423,79071,3271000,170,12.8,21323,941,4.9,27000
"FuelOil","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2023-08-03","ANZ","0phB00000004MzkIAE","Yubo Corporation",40,4575,350000,18,120000,250000,56634,23,0.42,51429,194,3560,23454,100000,15000000,2077,21234,5,0.85,16955,7125,66544,79274,35000000,400000,12454,78113,16000,425,13.3,15000,941,1.5,36000
"Propane","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2023-05-16","ANZ","0phB00000004MzkIAE","Yubo Corporation",38,1109,300000,16,135000,350000,76855,13,0.42,57857,172,3560,23454,123678,17000000,1807,22345,7,0.85,10000,8492,45443,22306,35000000,459000,12454,77625,3236000,103,13.4,18608,941,3.4,40500
"Steam","001B000001SklaNIAR","Stationary","Billhaus CTQW U8F","SDO.016","SupplierAcct203","Commercial Building","SGP","2023-09-18","2021-03-01","ANZ","0phB00000004MzkIAE","Yubo Corporation",80,2508,300000,29,154000,350000,67688,3,0.42,33000,312,3139,34345,123678,14000000,407,21234,6,0.85,17112,4674,45443,93552,31023124,454000,53423,84367,24000,233,10.6,18608,829,5,23100
