"Fuel_Type","Asset_Category","Asset","Asset_Type","CountryCode","Date","Business_Region","Carbon_Inventory","Energy_Usage_kBtu_sq_ft","Electricity_Usage_Previous","Electricity_Usage_kWh_m2","Total_Energy_Consumption_kWh","Electricity_Usage_Current","Scope_3_Emissions","Annual_Energy_Intensity_Variance","Energy_Consumption_Intensity_kWh_m2","Total_Renewable_Energy_kWh","Electricity_Usage_kWh_sq_ft","Fuel_Consumption_Liters","Scope_1_Scope_2_Location_Emissions","Total_Diesel_Consumption","Non_Renewal_Resources","Energy_Emissions","Scope_1_Scope_2_Market_Emissions","Annual_Electricity_Intensity_Variance","Electricity_Cons_Intensity_kWh_m2","Total_Fuel_Oil_Consumption","Energy_Consumption","Data_Center_PUE_current","Total_Natural_Gas_consumption_kWh","Renewal_Resources","Total_Steam_Consumption","Data_Center_PUE_previous","Emissions_from_Stationary_Sources","Total_Building_Area","Energy_Usage_kBtu_m2","High_Outliers","Scope_1_Emissions_tCO2e","Fuel_Consumption_Gallons","Low_Outliers","Total_Allocation_Renewable_Energy"
"Cooling","Stationary","ARL-WQ7 DC 9W","Comercial Building","IND","2019-09-02","Middle East",65,3078,350000,27,154000,300000,56634,24,4.97,44000,291,3139,23454,150000,15000000,1491,34543,7,10.02,16062,123324,45443,32536,31023124,367000,12354,95286,30000,286,13.9,18608,829,0.7,30800
"Natural Gas","Vehicle","9948 Contralia Cowter Ct","Fleet Vehicle","USA","2021-08-08","Central America",41,2207,350000,2,120000,450000,76855,1,0.24,42857,22,3139,43566,123678,14000000,2253,22345,10,0.59,19617,123324,66544,56438,29000000,438000,12454,19399,3184000,205,10.6,15000,829,5.4,30000
"Diesel","Vehicle","Circle St Tower 8","Fleet Vehicle","BRA","2019-09-11","North America",91,2971,300000,26,135000,350000,67688,6,1.05,38571,280,3139,34345,100000,17000000,2149,21234,8,2.13,16004,123324,34124,61539,35000000,485000,53423,16455,2860000,276,14.9,21323,829,3.2,27000
"Electricity","Vehicle","981 Rue Housterton","Fleet Vehicle","JPN","2021-05-06","EMEA",49,4564,400000,7,135000,400000,76855,24,2.52,57857,75,3139,23454,100000,17000000,571,34543,3,5.15,19596,123324,45443,64297,31023124,413000,53423,72421,25000,424,12.9,21323,829,2.4,40500
"Refrigerant","Stationary","JLP Square South","Comercial Building","ARG","2020-12-19","Europe",37,2207,400000,7,120000,300000,56634,11,0.19,25714,75,3560,34345,123678,14000000,1677,21234,10,0.37,14154,123324,34124,24161,35000000,466000,12354,87556,3322000,205,10.6,15000,941,3,18000
"Propane","Stationary","East Longs Peak","Comercial Building","IND","2022-04-15","Southeast Asia",42,1894,250000,8,154000,350000,67688,12,4.97,55000,86,3560,43566,150000,15000000,734,22345,4,10.02,12398,123324,66544,90032,29000000,359000,12454,7495,23000,176,12.7,18608,941,1.8,38500
"Refrigerant","Stationary","South Longs Peak","Comercial Building","IND","2019-08-20","Southeast Asia",55,237,350000,18,120000,400000,56634,18,4.97,51429,194,3139,34345,123678,14000000,1814,21234,10,10.02,10413,123324,45443,46641,31023124,482000,12454,17854,23000,22,12.8,15000,829,4.3,36000
"Natural Gas","Stationary","Straight St Tower 4","Comercial Building","AUS","2022-05-21","AMER",82,3843,450000,14,135000,500000,67688,1,4.19,28929,151,3560,23454,100000,15000000,486,34543,9,8.45,15378,123324,66544,43535,29000000,383000,53423,96921,2374000,357,11.1,18608,941,1.4,20250
"FuelOil","Stationary","ARL-VA7 DC 5W","Comercial Building","MAR","2021-05-15","Middle East",75,1851,400000,28,154000,450000,76855,30,0.22,44000,301,3139,43566,150000,17000000,1716,22345,10,0.45,16765,123324,34124,69782,35000000,399000,12354,90189,3472000,172,12,21323,829,0.9,30800
"Electricity","Vehicle","Company Shuttle #2","Fleet Vehicle","JPN","2020-03-27","Central America",63,4736,450000,29,120000,350000,76855,16,2.52,42857,312,3560,43566,100000,14000000,419,21234,7,5.15,13578,123324,66544,45830,29000000,495000,12354,7327,34000,440,12.9,15000,941,2.4,30000
"Diesel","Stationary","45 Keppely Rd 5C","Comercial Building","JPN","2020-09-25","Central Asia",76,3046,400000,30,135000,500000,56634,4,2.52,38571,323,3139,34345,150000,17000000,1599,34543,6,5.15,18751,123324,45443,27399,35000000,432000,53423,95485,2252000,283,11,18608,829,5.3,27000
"Steam","Stationary","Centre St Tower 8","Comercial Building","IRL","2019-10-08","North America",56,2971,450000,22,154000,450000,67688,21,0.01,66000,237,3560,23454,123678,15000000,1353,22345,7,0.02,17617,123324,34124,41732,31023124,388000,12454,88225,22000,276,11.4,21323,941,2.6,46200
"Propane","Stationary","230 Burlingame Ave.","Comercial Building","MAR","2022-01-26","EMEA",88,3154,400000,3,154000,400000,76855,17,0.22,33000,32,3560,34345,100000,17000000,1343,34543,6,0.45,17400,123324,66544,48567,29000000,376000,12354,87921,2683000,293,13,18608,941,0.7,23100
"Cooling","Vehicle","Los Angeles SMALL TRUCK 12-0024","Fleet Vehicle","USA","2021-12-07","Southeast Asia",39,1916,250000,14,135000,300000,56634,29,0.24,48214,151,3139,43566,123678,15000000,481,21234,7,0.59,10198,123324,34124,67267,35000000,414000,53423,16357,13000,178,14,15000,829,5.9,33750
"Heat","Stationary","Billhaus CTQW U8F","Comercial Building","SGP","2022-05-28","ANZ",84,161,350000,10,120000,500000,67688,24,0.42,42857,108,3560,23454,150000,14000000,1514,22345,7,0.85,10228,123324,45443,43670,31023124,406000,12454,16462,34000,15,12.1,21323,941,5.3,30000
"Steam","Stationary","Centre St Tower 4","Comercial Building","USA","2021-04-08","AMER",80,872,400000,11,135000,400000,76855,28,0.24,28929,118,3139,34345,150000,15000000,2119,34543,10,0.59,14285,123324,45443,94216,31023124,423000,12454,9196,3095000,81,11,21323,829,4.8,20250
"Cooling","Stationary","West Longs Peak","Comercial Building","BRA","2019-12-05","South America",89,3283,400000,18,154000,350000,67688,25,1.05,44000,194,3560,23454,100000,14000000,1787,21234,5,2.13,14775,123324,34124,60086,29000000,383000,53423,80588,2386000,305,12.5,18608,941,0.5,30800
"FuelOil","Scope 3","*AMER Financed Emissions","Scope 3","CHN","2020-08-07","LATAM",89,3078,350000,22,120000,450000,56634,30,3.2,51429,237,3139,43566,123678,17000000,670,22345,10,3.12,15965,123324,66544,74588,35000000,411000,12354,6617,28000,286,14.2,15000,829,4.7,36000
"Natural Gas","Data Center","Business Travel FY22","Data Center","BRA","2020-03-01","Europe",77,1410,400000,26,135000,300000,56634,18,1.05,57857,280,3139,23454,150000,17000000,2231,34543,8,2.13,11380,123324,45443,64038,31023124,443000,53423,72327,18000,131,13,18608,829,5.6,40500
"Electricity","Stationary","North Longs Peak","Comercial Building","ARG","2019-08-17","South America",61,646,400000,26,154000,500000,76855,30,0.19,44000,280,3560,43566,100000,14000000,1948,22345,5,0.37,11783,123324,34124,72559,29000000,494000,12354,85892,2286000,60,12.4,15000,941,0.6,30800
"Diesel","Stationary","45 Keppely Rd 5B","Comercial Building","IRL","2021-12-28","Central Asia",94,1841,400000,8,120000,350000,67688,4,0.01,25714,86,3139,34345,123678,15000000,2014,21234,9,0.02,14132,123324,66544,60588,35000000,493000,12454,88736,2306000,171,14.1,21323,829,0.1,18000
"Heat","Stationary","JLP Square North","Comercial Building","FRA","2022-05-28","Europe",92,2250,250000,11,135000,450000,67688,30,3.39,48214,118,3560,43566,150000,14000000,1467,34543,5,6.87,14306,123324,66544,86502,35000000,414000,12454,88192,30000,209,10.9,15000,941,3.1,33750
"Propane","Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","Fleet Vehicle","MAR","2019-06-07","Central Asia",88,4704,300000,25,154000,400000,76855,13,0.22,33000,269,3560,34345,100000,17000000,522,22345,10,0.45,14934,123324,45443,21254,31023124,445000,53423,18456,2886000,437,12.2,21323,941,3.5,23100
"Refrigerant","Stationary","Billhaus CTAW P4A","Comercial Building","AUS","2021-03-19","ANZ",51,4521,400000,26,120000,300000,56634,11,4.19,34286,280,3139,23454,123678,15000000,722,21234,7,8.45,13053,123324,34124,23583,29000000,439000,12354,90838,28000,420,13.5,18608,829,5.3,24000
"Refrigerant","Scope 3","Freight Hauling - downstream distribution FY21","Scope 3","AUS","2020-01-20","Middle East",38,3348,350000,21,120000,450000,67688,22,4.19,42857,226,3139,23454,150000,15000000,1381,21234,3,8.45,19295,123324,45443,38890,29000000,398000,53423,8946,23000,311,12.6,21323,829,3.3,30000
"Heat","Stationary","513 Severing St","Comercial Building","SGP","2022-05-10","APAC",71,1184,400000,19,154000,500000,56634,8,0.42,66000,205,3560,34345,123678,17000000,1690,22345,4,0.85,15254,123324,34124,45280,31023124,474000,12354,8663,2935000,110,12.4,15000,941,3.4,46200
"Electricity","Stationary","ARL-VA4 DC 8W","Comercial Building","MAR","2022-09-24","LATAM",99,4144,450000,22,135000,300000,76855,16,0.22,38571,237,3560,43566,100000,14000000,1145,34543,5,0.45,17607,123324,66544,99859,35000000,386000,12454,16564,3361000,385,10.7,18608,941,0.6,27000
"Cooling","Scope 3","Business Travel FY18","Scope 3","IRL","2020-06-04","ANZ",88,1206,350000,8,135000,350000,67688,23,0.01,57857,86,3560,23454,123678,14000000,401,34543,5,0.02,16943,123324,66544,83230,29000000,466000,53423,19677,30000,112,13.4,18608,941,0.2,40500
"Natural Gas","Stationary","TX - Marion","Comercial Building","CHN","2021-06-22","APAC",80,3111,450000,26,154000,400000,76855,12,3.2,33000,280,3139,43566,150000,17000000,1472,21234,6,3.12,19192,123324,45443,98236,31023124,460000,12454,90808,2427000,289,12.8,15000,829,4.1,23100
"Steam","Stationary","217 Xevering St","Comercial Building","USA","2019-04-05","APAC",37,2368,350000,4,120000,300000,56634,24,0.24,42857,43,3139,34345,100000,15000000,1625,22345,3,0.59,11204,123324,34124,83488,35000000,496000,12354,93213,14000,220,11.9,21323,829,1.7,30000
"FuelOil","Vehicle","Company Jet #2","Private Jet","CAN","2019-04-20","Southeast Asia",39,4080,400000,25,154000,450000,56634,13,2.68,33000,269,3560,43566,123678,15000000,2287,34543,7,5.4,17509,123324,66544,63466,31023124,450000,53423,6369,2872000,379,12.4,21323,941,1.6,23100
"Diesel","Stationary","*Cirrus Tower","Comercial Building","USA","2022-07-20","AMER",44,1410,250000,10,135000,400000,76855,15,0.24,38571,108,3560,23454,100000,17000000,1401,22345,10,0.59,14154,123324,45443,69936,29000000,490000,12354,84781,15000,131,13.2,18608,941,4.5,27000
"Propane","Stationary","140 Mission St","Comercial Building","USA","2021-04-29","AMER",70,2099,350000,25,120000,500000,67688,15,0.24,51429,269,3560,34345,150000,14000000,1962,21234,7,0.59,14572,123324,34124,69066,35000000,417000,12454,78435,15000,195,14.2,15000,941,4.2,36000
"Electricity","Data Center","*Business Travel FY21","Data Center","SGP","2020-05-11","AMER",54,2842,450000,18,120000,350000,67688,1,0.42,42857,194,3139,43566,100000,15000000,1159,34543,10,0.85,11201,123324,34124,82646,35000000,369000,53423,98447,2883000,264,14.1,18608,829,5.2,30000
"Propane","Stationary","9267 Contralia Cowter Ct","Comercial Building","GBR","2021-12-29","Central America",89,1227,400000,3,154000,400000,56634,24,5.99,55000,32,3139,23454,150000,14000000,1258,21234,8,12.14,17461,123324,66544,71547,29000000,476000,12454,75137,23000,114,13.9,21323,829,1.7,38500
"Steam","Stationary","217 Xevering St","Comercial Building","USA","2020-08-27","APAC",47,4693,350000,13,135000,500000,76855,1,0.24,28929,140,3560,34345,123678,17000000,1028,22345,10,0.59,18143,123324,45443,59547,31023124,434000,12354,15355,2570000,436,14.8,15000,941,2.1,20250
"Refrigerant","Vehicle","9948 Contralia Cowter Ct","Fleet Vehicle","USA","2019-01-25","Central America",88,980,300000,26,154000,300000,76855,23,0.24,66000,280,3139,43566,123678,15000000,1482,34543,8,0.59,10434,123324,34124,52583,35000000,403000,53423,16449,2071000,91,12.3,18608,829,2.2,46200
"Natural Gas","Data Center","Value Chain","Data Center","FRA","2022-01-16","North America",49,3122,350000,5,120000,450000,56634,3,3.39,34286,54,3560,34345,150000,17000000,1677,22345,8,6.87,11309,123324,45443,53593,29000000,454000,12354,16298,28000,290,12.5,15000,941,3.1,24000
"Diesel","Scope 3","Business Travel FY18","Scope 3","GBR","2019-05-07","South America",73,1055,250000,5,135000,350000,67688,27,5.99,48214,54,3139,23454,100000,14000000,1093,21234,10,12.14,17063,123324,66544,65580,31023124,491000,12454,8107,10000,98,12.7,21323,829,2.1,33750
"Heat","Stationary","Billhaus CTQW U8F","Comercial Building","SGP","2020-06-30","ANZ",39,1464,400000,14,120000,350000,76855,3,0.42,34286,151,3560,34345,100000,17000000,818,34543,3,0.85,11330,123324,45443,30025,31023124,357000,12454,7959,3068000,136,13,15000,941,1.7,24000
"Cooling","Stationary","Billhaus CTAW P4A","Comercial Building","USA","2022-07-23","ANZ",99,4596,400000,4,135000,500000,56634,8,0.24,57857,43,3139,23454,123678,14000000,2057,21234,8,0.59,12815,123324,34124,53772,35000000,422000,12354,98884,3485000,427,14.9,21323,829,4.7,40500
"FuelOil","Stationary","West Longs Peak","Comercial Building","BRA","2021-07-28","South America",34,2034,350000,3,154000,400000,67688,30,1.05,33000,32,3139,43566,150000,15000000,436,22345,6,2.13,13362,123324,66544,53936,29000000,419000,53423,99817,24000,189,10.9,18608,829,4.4,23100
"FuelOil","Vehicle","Company Jet #2","Private Jet","IND","2020-06-23","EMEA",68,883,350000,19,135000,450000,56634,17,4.97,38571,205,3560,43566,100000,15000000,2267,21234,3,10.02,11886,123324,66544,52464,31023124,398000,53423,71328,2008000,82,13.7,21323,941,0.7,27000
"Diesel","Stationary","140 Mission St","Comercial Building","USA","2021-04-01","AMER",65,2034,250000,27,120000,300000,76855,13,0.24,42857,291,3139,34345,123678,17000000,2238,34543,10,0.59,11538,123324,45443,18802,35000000,359000,12454,89021,27000,189,11.9,18608,829,0.8,30000
"Steam","Stationary","45 Keppely Rd 5C","Comercial Building","JPN","2022-01-16","Central Asia",93,3767,400000,10,154000,500000,67688,27,2.52,33000,108,3560,23454,150000,14000000,1956,22345,8,5.15,14833,123324,34124,90928,29000000,388000,12354,88630,19000,350,14.7,15000,941,0.8,23100
"Heat","Vehicle","Los Angeles SMALL TRUCK 12-0024","Fleet Vehicle","JPN","2019-11-13","Europe",86,2637,350000,26,120000,350000,67688,6,2.52,51429,280,3139,23454,123678,14000000,1562,21234,10,5.15,10882,123324,66544,95883,31023124,457000,53423,4488,3463000,245,11.7,15000,829,3.8,36000
"Natural Gas","Scope 3","Freight Hauling - downstream distribution FY21","Scope 3","ARG","2019-02-28","Central America",89,926,400000,9,135000,300000,76855,2,0.19,28929,97,3560,34345,150000,15000000,502,22345,4,0.37,10949,123324,45443,10445,29000000,368000,12354,9471,14000,86,11.9,21323,941,3.1,20250
"Cooling","Vehicle","981 Rue Housterton","Fleet Vehicle","JPN","2020-12-16","EMEA",32,1841,400000,4,154000,450000,56634,17,2.52,66000,43,3139,43566,100000,17000000,875,34543,8,5.15,10335,123324,34124,35701,35000000,476000,12454,15850,3152000,171,13,18608,829,2.4,46200
"Refrigerant","Stationary","East Longs Peak","Comercial Building","IND","2022-05-14","Southeast Asia",62,1701,400000,28,154000,400000,67688,30,4.97,55000,301,3560,23454,150000,14000000,2111,21234,10,10.02,15371,123324,34124,19508,31023124,424000,53423,77951,2959000,158,10.4,18608,941,2.4,38500
"Electricity","Stationary","513 Severing St","Comercial Building","SGP","2021-12-18","APAC",86,344,450000,18,120000,500000,56634,24,0.42,34286,194,3139,43566,100000,17000000,754,34543,3,0.85,12052,123324,45443,54148,29000000,491000,12354,83842,28000,32,10,15000,829,0.1,24000
"Propane","Stationary","ARL-VA4 DC 8W","Comercial Building","MAR","2019-03-09","LATAM",40,1475,400000,2,135000,400000,76855,4,0.22,28929,22,3139,34345,123678,15000000,468,22345,3,0.45,18327,123324,66544,33494,35000000,400000,12454,19567,2030000,137,10.5,21323,829,6,20250
"FuelOil","Data Center","Business Travel FY20","Data Center","CAN","2021-04-16","Central Asia",68,4219,350000,25,120000,350000,76855,4,2.68,42857,269,3139,43566,100000,15000000,468,34543,5,5.4,14368,123324,66544,76270,35000000,376000,12454,18306,35000,392,12.7,15000,829,3.9,30000
"Electricity","Vehicle","Circle St Tower 8","Fleet Vehicle","BRA","2020-02-19","North America",68,3627,450000,24,135000,450000,67688,15,1.05,38571,258,3560,23454,123678,14000000,968,22345,7,2.13,17243,123324,34124,49012,29000000,447000,12354,18892,16000,337,14.6,18608,941,5.7,27000
"Refrigerant","Stationary","North Longs Peak","Comercial Building","ARG","2022-05-10","South America",55,2745,250000,25,154000,300000,56634,6,0.19,66000,269,3560,34345,150000,17000000,371,21234,5,0.37,12808,123324,45443,67803,31023124,370000,53423,75985,2663000,255,14.7,21323,941,4.8,46200
"Propane","Stationary","Straight St Tower 4","Comercial Building","AUS","2022-10-29","AMER",64,2723,300000,29,120000,450000,76855,7,4.19,25714,312,3560,23454,100000,15000000,2124,22345,8,8.45,11866,123324,45443,25844,35000000,465000,12354,3041,35000,253,13.7,18608,941,0.4,18000
"Heat","Stationary","ARL-VA7 DC 5W","Comercial Building","MAR","2020-06-17","Middle East",48,1905,350000,23,154000,300000,67688,14,0.22,44000,248,3139,34345,123678,14000000,1672,34543,3,0.45,18650,123324,66544,82614,31023124,500000,12454,99794,2954000,177,12.9,15000,829,1.9,30800
"Diesel","Stationary","JLP Square South","Comercial Building","ARG","2021-10-14","Europe",92,2282,400000,10,135000,500000,56634,20,0.19,57857,108,3139,43566,150000,17000000,321,21234,4,0.37,17248,123324,34124,30258,29000000,355000,53423,88810,22000,212,13.9,21323,829,0.8,40500
"Natural Gas","Vehicle","Company Jet #1","Private Jet","IRL","2019-06-22","LATAM",91,3337,450000,11,120000,400000,76855,25,0.01,42857,118,3560,23454,150000,14000000,690,21234,4,0.02,17373,123324,34124,27296,31023124,379000,12454,16895,2591000,310,12.6,15000,941,5.1,30000
"Steam","Stationary","JLP Square North","Comercial Building","FRA","2019-02-04","Europe",75,1475,400000,3,135000,350000,67688,14,3.39,48214,32,3560,43566,100000,17000000,479,22345,3,6.87,10959,123324,66544,96196,35000000,453000,12354,96246,2616000,137,13.9,18608,941,1.1,33750
"Cooling","Stationary","*Cirrus Tower","Comercial Building","USA","2021-10-22","AMER",71,291,400000,20,154000,350000,56634,15,0.24,33000,215,3139,34345,123678,15000000,1269,34543,10,0.59,17022,123324,45443,80706,29000000,402000,53423,78004,12000,27,13.4,21323,829,0.8,23100
"Steam","Scope 3","Business Travel FY22","Scope 3","BRA","2022-01-15","APAC",98,4553,450000,24,154000,450000,67688,24,1.05,44000,258,3560,34345,150000,17000000,1101,22345,3,2.13,17746,123324,34124,21107,29000000,485000,12354,84724,3319000,423,13.7,15000,941,1.9,30800
"Refrigerant","Data Center","Business Travel FY19","Data Center","CHN","2020-07-31","North America",74,4026,350000,5,135000,400000,56634,24,3.2,57857,54,3139,43566,100000,15000000,401,34543,4,3.12,18580,123324,66544,92147,31023124,487000,12454,16224,34000,374,11.4,21323,829,3.6,40500
"Propane","Stationary","45 Keppely Rd 5B","Comercial Building","IRL","2021-02-21","Central Asia",98,2852,250000,24,120000,300000,76855,9,0.01,25714,258,3139,23454,123678,14000000,500,21234,5,0.02,12326,123324,45443,56303,35000000,436000,53423,9134,3194000,265,14.8,18608,829,1.7,18000
"Cooling","Stationary","81 Rue Mocklie","Comercial Building","FRA","2020-09-08","EMEA",37,2454,400000,13,154000,500000,67688,21,3.39,44000,140,3139,23454,123678,15000000,1147,21234,4,6.87,18623,123324,34124,60010,29000000,371000,12454,91244,34000,228,11.9,15000,829,2.5,30800
"FuelOil","Stationary","ARL-VA4 DC 4W","Comercial Building","ARG","2019-09-22","LATAM",98,1367,400000,17,135000,350000,56634,13,0.19,48214,183,3560,43566,100000,17000000,1087,22345,5,0.37,11336,123324,45443,51891,31023124,464000,12354,98943,33000,127,14,21323,941,0.6,33750
"Electricity","Stationary","South Longs Peak","Comercial Building","IND","2022-08-01","Southeast Asia",98,2530,400000,30,120000,300000,76855,28,4.97,51429,323,3560,34345,150000,14000000,979,34543,4,10.02,14743,123324,66544,57970,35000000,474000,53423,16086,3266000,235,10.1,18608,941,4.4,36000
"Diesel","Stationary","Centre St Tower 8","Comercial Building","GBR","2020-11-14","North America",91,2874,350000,22,154000,450000,67688,19,5.99,33000,237,3560,34345,100000,14000000,1324,34543,5,12.14,17861,123324,66544,60265,29000000,387000,53423,72600,29000,267,10.2,21323,941,1.7,23100
"Natural Gas","Scope 3","*Business Travel FY21","Scope 3","SGP","2021-12-22","Europe",30,172,300000,1,120000,400000,76855,12,0.42,34286,11,3139,23454,150000,15000000,1190,22345,3,0.85,13743,123324,45443,34568,31023124,375000,12454,76482,3387000,16,14.1,18608,829,4.1,24000
"Heat","Stationary","230 Burlingame Ave.","Comercial Building","USA","2022-08-22","Central America",75,4618,250000,5,135000,500000,56634,11,0.24,48214,54,3560,43566,123678,17000000,406,21234,7,0.59,17360,123324,34124,26459,35000000,367000,12354,76965,22000,429,12.2,15000,941,4.9,33750
"Refrigerant","Vehicle","Company Shuttle #2","Fleet Vehicle","FRA","2019-05-09","AMER",79,4123,400000,3,135000,500000,67688,2,3.39,57857,32,3139,34345,100000,17000000,1586,21234,6,6.87,19814,123324,34124,66829,31023124,490000,12454,6338,2122000,383,14.7,15000,829,1.3,40500
"Cooling","Data Center","*AMER Financed Emissions","Data Center","MAR","2020-09-24","EMEA",71,3886,350000,7,120000,450000,76855,6,0.22,51429,75,3139,23454,123678,14000000,520,22345,9,0.45,18357,123324,45443,31540,35000000,463000,53423,3164,27000,361,10.7,18608,829,5.1,36000
"FuelOil","Stationary","ARL-WQ7 DC 9W","Comercial Building","AUS","2022-04-04","Middle East",78,517,300000,4,154000,350000,56634,6,4.19,44000,43,3560,43566,150000,15000000,1705,34543,9,8.45,19614,123324,66544,80191,29000000,476000,12354,95173,2288000,48,14,21323,941,3.3,30800
"Propane","Stationary","TX - Marion","Comercial Building","CHN","2021-11-14","APAC",61,2573,250000,16,135000,400000,67688,29,3.2,28929,172,3139,23454,123678,14000000,973,21234,3,3.12,18129,123324,66544,18907,31023124,411000,12454,3407,3099000,239,12.8,15000,829,1.9,20250
"Natural Gas","Stationary","Centre St Tower 4","Comercial Building","USA","2019-07-23","AMER",42,3563,450000,1,154000,300000,76855,8,0.24,55000,11,3560,43566,150000,15000000,1182,22345,6,0.59,19374,123324,45443,35783,35000000,399000,53423,19259,16000,331,10.9,18608,941,3.5,38500
"Electricity","Vehicle","*XK-640036 - TRUCK LARGE SPECIALIZED","Fleet Vehicle","ARG","2020-06-16","South America",87,4628,450000,16,120000,450000,56634,24,0.19,34286,172,3560,34345,100000,17000000,344,34543,3,0.37,11676,123324,34124,54146,29000000,440000,12354,89147,32000,430,14.6,21323,941,5.8,24000
"Steam","Vehicle","Company Shuttle #2","Fleet Vehicle","JPN","2022-03-22","Middle East",64,4004,400000,19,154000,300000,76855,13,2.52,33000,205,3560,34345,100000,15000000,1152,34543,3,5.15,17989,123324,66544,46913,31023124,374000,53423,18803,2794000,372,10.5,18608,941,2.5,23100
"Heat","Stationary","JLP Square South","Comercial Building","ARG","2021-09-04","Europe",93,807,400000,20,120000,400000,67688,8,0.19,42857,215,3139,23454,123678,14000000,2020,21234,8,0.37,15446,123324,34124,87348,29000000,382000,12454,77922,3287000,75,10,21323,829,0.8,30000
"Diesel","Stationary","Centre St Tower 8","Comercial Building","IND","2019-10-25","North America",83,4790,400000,2,135000,350000,56634,21,4.97,57857,22,3139,43566,150000,17000000,930,22345,4,10.02,18666,123324,45443,97089,35000000,356000,12354,99059,16000,445,14,15000,829,0.5,40500
"Electricity","Stationary","513 Severing St","Comercial Building","SGP","2021-02-05","APAC",70,3046,350000,25,120000,500000,76855,9,0.42,25714,269,3139,43566,150000,15000000,1331,22345,8,0.85,19612,123324,34124,73828,31023124,425000,53423,92851,2560000,283,14.7,15000,829,1.2,18000
"FuelOil","Stationary","45 Keppely Rd 5C","Comercial Building","JPN","2020-08-22","Central Asia",82,3132,350000,2,135000,350000,56634,17,2.52,38571,22,3560,23454,123678,17000000,1086,34543,5,5.15,18172,123324,66544,23067,35000000,356000,12354,70890,35000,291,14.2,21323,941,1.3,27000
"Steam","Stationary","ARL-VA7 DC 5W","Comercial Building","MAR","2022-03-03","Middle East",81,4542,450000,7,154000,500000,67688,26,0.22,66000,75,3560,34345,100000,14000000,1987,21234,6,0.45,18248,123324,45443,56913,29000000,493000,12454,76270,2587000,422,11.4,18608,941,1.4,46200
"Heat","Vehicle","Los Angeles SMALL TRUCK 12-0024","Fleet Vehicle","IND","2019-12-05","Southeast Asia",46,2228,400000,26,120000,450000,76855,22,4.97,42857,280,3139,34345,123678,17000000,2040,21234,8,10.02,15519,123324,66544,50276,31023124,391000,12454,1423,16000,207,10.6,18608,829,2.2,30000
"Refrigerant","Vehicle","981 Rue Housterton","Fleet Vehicle","JPN","2022-04-28","EMEA",30,3326,250000,9,135000,300000,67688,10,2.52,38571,97,3560,23454,150000,14000000,1763,34543,6,5.15,13251,123324,34124,19123,29000000,450000,53423,19768,13000,309,14,15000,941,4.6,27000
"Cooling","Stationary","45 Keppely Rd 5B","Comercial Building","IRL","2021-10-08","Central Asia",86,4585,350000,23,154000,400000,56634,13,0.01,66000,248,3139,43566,100000,15000000,1250,22345,10,0.02,16387,123324,45443,20974,35000000,445000,12354,77760,3388000,426,11.5,21323,829,5.6,46200
"Diesel","Vehicle","Company Jet #2","Private Jet","SGP","2019-07-19","Central Asia",74,4413,400000,4,135000,400000,56634,13,0.42,48214,43,3139,43566,150000,14000000,1978,21234,6,0.85,10178,123324,45443,12419,29000000,373000,12354,6768,29000,410,13.3,21323,829,0.9,33750
"Natural Gas","Scope 3","*Business Travel FY21","Scope 3","FRA","2020-11-10","LATAM",100,710,350000,6,120000,450000,67688,19,3.39,25714,65,3560,34345,100000,17000000,951,34543,6,6.87,17408,123324,34124,66975,31023124,433000,53423,84445,3239000,66,13.1,18608,941,0.4,18000
"Propane","Stationary","Straight St Tower 4","Comercial Building","AUS","2019-05-30","AMER",67,2691,350000,4,154000,500000,76855,15,4.19,44000,43,3139,23454,123678,15000000,1225,22345,3,8.45,19237,123324,66544,73654,35000000,410000,12454,2182,2267000,250,12.8,15000,829,5.6,30800
"Steam","Vehicle","Circle St Tower 8","Fleet Vehicle","BRA","2022-07-29","North America",55,2153,350000,27,120000,300000,67688,10,1.05,51429,291,3560,34345,150000,17000000,1139,34543,10,2.13,12253,123324,45443,73536,29000000,492000,12454,15039,14000,200,10.9,18608,941,4.8,36000
"Natural Gas","Stationary","North Longs Peak","Comercial Building","ARG","2020-12-29","South America",70,4596,400000,10,135000,350000,56634,12,0.19,48214,108,3560,43566,100000,14000000,2051,22345,7,0.37,12815,123324,34124,57086,35000000,499000,12354,79248,2355000,427,13.8,15000,941,4.9,33750
"Propane","Data Center","*AMER Financed Emissions","Data Center","BRA","2021-10-11","ANZ",39,2024,400000,22,154000,400000,76855,13,1.05,33000,237,3139,23454,123678,15000000,1984,21234,6,2.13,10358,123324,66544,41191,31023124,485000,53423,5362,30000,188,10.2,21323,829,2.8,23100
"Electricity","Stationary","JLP Square North","Comercial Building","FRA","2022-07-04","Europe",92,2820,450000,9,135000,500000,56634,20,3.39,48214,97,3560,43566,150000,17000000,904,22345,8,6.87,10774,123324,66544,10586,31023124,474000,12454,89076,15000,262,10.4,15000,941,4.1,33750
"Diesel","Stationary","81 Rue Mocklie","Comercial Building","FRA","2020-10-03","EMEA",100,2874,300000,16,154000,450000,76855,1,3.39,44000,172,3139,34345,123678,15000000,622,34543,6,6.87,10651,123324,45443,50843,29000000,396000,53423,18875,2615000,267,13.6,18608,829,1.8,30800
