"IndustrySegment","Period","PeriodStartDate","RevenueBucket","Revenue"
"Coatings & Inks","Rest of the Records","2017-11-11","2.5m - 3m",2649001
"Specialty Materials","Rest of the Records","2018-12-10","2m - 2.5m",2013001
"Textiles","Current Month","2021-09-20","1.5m - 2m",1828001
"Paper & Packaging","Rest of the Records","2017-12-06","4.5m - 5m",4839000
"Specialty Materials","Rest of the Records","2017-11-10","1m - 1.5m",1114000
"Textiles","Rest of the Records","2018-08-09","3.5m - 4m",3635001
"Coatings & Inks","Rest of the Records","2018-10-22","1m - 1.5m",1193000
"Paper & Packaging","Rest of the Records","2020-03-02","4m - 4.5m",4144001
"Specialty Materials","Rest of the Records","2018-07-05","3m - 3.5m",3372001
"Textiles","Rest of the Records","2021-01-23","2.5m - 3m",2820001
"Paper & Packaging","Rest of the Records","2019-06-18","3m - 3.5m",3004001
"Coatings & Inks","Rest of the Records","2021-04-06","3.5m - 4m",3566001
"Textiles","Rest of the Records","2019-02-23","1.5m - 2m",1673001
"Specialty Materials","Rest of the Records","2017-11-09","4.5m - 5m",4542000
"Paper & Packaging","Rest of the Records","2020-02-13","2.5m - 3m",2971001
"Coatings & Inks","Rest of the Records","2020-08-13","4m - 4.5m",4420001
"Paper & Packaging","Rest of the Records","2018-07-11","2m - 2.5m",2307001
"Coatings & Inks","Rest of the Records","2018-10-01","4.5m - 5m",4768000
"Specialty Materials","Rest of the Records","2019-11-30","3.5m - 4m",3700001
"Textiles","Rest of the Records","2020-09-27","4m - 4.5m",4482001
"Textiles","Rest of the Records","2021-01-16","3.5m - 4m",3570001
"Coatings & Inks","Rest of the Records","2017-11-17","3m - 3.5m",3087001
"Specialty Materials","Rest of the Records","2019-06-09","3m - 3.5m",3144001
"Paper & Packaging","Rest of the Records","2018-12-04","2.5m - 3m",2633001
"Paper & Packaging","Rest of the Records","2020-06-07","4.5m - 5m",4808000
"Textiles","Rest of the Records","2019-10-27","1.5m - 2m",1885001
"Coatings & Inks","Rest of the Records","2017-08-12","1m - 1.5m",1215000
"Specialty Materials","Rest of the Records","2020-01-28","2m - 2.5m",2122001
"Paper & Packaging","Rest of the Records","2020-08-10","1m - 1.5m",1283000
"Specialty Materials","Rest of the Records","2018-03-16","4m - 4.5m",4107001
"Textiles","Rest of the Records","2017-06-13","3.5m - 4m",3792001
"Coatings & Inks","Rest of the Records","2017-06-08","4m - 4.5m",4007001
"Specialty Materials","Rest of the Records","2020-09-26","1m - 1.5m",1143000
"Paper & Packaging","Rest of the Records","2019-07-17","3m - 3.5m",3198001
"Textiles","Rest of the Records","2018-03-19","2.5m - 3m",2844001
"Coatings & Inks","Rest of the Records","2020-07-07","1.5m - 2m",1815001
"Specialty Materials","Rest of the Records","2019-04-23","4.5m - 5m",4785000
"Coatings & Inks","Rest of the Records","2018-04-23","2m - 2.5m",2009001
"Paper & Packaging","Rest of the Records","2021-01-26","4m - 4.5m",4213001
"Textiles","Rest of the Records","2019-01-09","2m - 2.5m",2306001
"Coatings & Inks","Rest of the Records","2021-02-09","3.5m - 4m",3750001
"Paper & Packaging","Rest of the Records","2017-07-13","1.5m - 2m",1501001
"Textiles","Rest of the Records","2018-06-29","1m - 1.5m",1477000
"Specialty Materials","Rest of the Records","2019-08-25","3m - 3.5m",3356001
"Textiles","Rest of the Records","2018-01-26","3.5m - 4m",3934001
"Specialty Materials","Rest of the Records","2019-04-05","2m - 2.5m",2056001
"Coatings & Inks","Rest of the Records","2019-09-29","3m - 3.5m",3496001
"Paper & Packaging","Rest of the Records","2017-05-07","1.5m - 2m",1518001
"Paper & Packaging","Rest of the Records","2019-07-20","4.5m - 5m",4621000
"Textiles","Rest of the Records","2018-12-08","2.5m - 3m",2752001
"Coatings & Inks","Rest of the Records","2017-10-20","2.5m - 3m",2663001
"Specialty Materials","Rest of the Records","2020-12-01","1m - 1.5m",1240000
"Coatings & Inks","Rest of the Records","2018-08-20","4m - 4.5m",4495001
"Specialty Materials","Rest of the Records","2019-08-27","3.5m - 4m",3914001
"Paper & Packaging","Two Months Ago","2021-07-19","4m - 4.5m",4327001
"Textiles","Current Month","2021-09-10","3m - 3.5m",3109001
"Textiles","Rest of the Records","2018-07-22","2.5m - 3m",2639001
"Specialty Materials","Three Months Ago","2021-06-02","4.5m - 5m",4804000
"Coatings & Inks","Four Months Ago","2021-05-09","3m - 3.5m",3263001
"Paper & Packaging","One Month Ago","2021-08-23","2m - 2.5m",2149001
"Textiles","Rest of the Records","2018-08-11","3.5m - 4m",3648001
"Coatings & Inks","Rest of the Records","2018-07-28","2m - 2.5m",2402001
"Specialty Materials","Rest of the Records","2019-09-29","1.5m - 2m",1709001
"Paper & Packaging","Rest of the Records","2020-09-03","3m - 3.5m",3375001
"Coatings & Inks","Rest of the Records","2017-07-10","2.5m - 3m",2532001
"Specialty Materials","Rest of the Records","2019-05-24","4m - 4.5m",4436001
"Paper & Packaging","Rest of the Records","2019-10-15","3.5m - 4m",3858001
"Textiles","Rest of the Records","2019-07-28","3m - 3.5m",3176001
"Paper & Packaging","Rest of the Records","2018-04-21","4m - 4.5m",4400001
"Textiles","Rest of the Records","2020-01-10","1m - 1.5m",1078000
"Coatings & Inks","Rest of the Records","2018-01-13","3.5m - 4m",3967001
"Specialty Materials","Rest of the Records","2019-09-17","1.5m - 2m",1745001
"Textiles","Rest of the Records","2021-01-25","2m - 2.5m",2064001
"Coatings & Inks","Rest of the Records","2020-11-16","1.5m - 2m",1677001
"Specialty Materials","Rest of the Records","2021-04-12","2.5m - 3m",2816001
"Paper & Packaging","Rest of the Records","2020-05-03","3.5m - 4m",3641001
"Coatings & Inks","Rest of the Records","2020-01-07","1m - 1.5m",1099000
"Paper & Packaging","Rest of the Records","2019-06-26","3m - 3.5m",3256001
"Specialty Materials","Rest of the Records","2019-07-11","1m - 1.5m",1450000
"Textiles","Rest of the Records","2021-01-31","1.5m - 2m",1718001
"Coatings & Inks","Rest of the Records","2018-11-25","3m - 3.5m",3158001
"Specialty Materials","Rest of the Records","2020-08-17","4.5m - 5m",4543000
"Paper & Packaging","Rest of the Records","2019-11-29","4m - 4.5m",4326001
"Textiles","Rest of the Records","2017-07-14","2.5m - 3m",2554001
"Textiles","Rest of the Records","2019-05-01","1m - 1.5m",1418000
"Coatings & Inks","Rest of the Records","2019-08-08","4m - 4.5m",4284001
"Specialty Materials","Rest of the Records","2018-01-15","2m - 2.5m",2121001
"Paper & Packaging","Rest of the Records","2020-08-27","3.5m - 4m",3718001
"Paper & Packaging","Rest of the Records","2020-03-20","3m - 3.5m",3236001
"Textiles","Rest of the Records","2018-08-01","4.5m - 5m",4567000
"Coatings & Inks","Rest of the Records","2018-02-17","3.5m - 4m",3827001
"Specialty Materials","Rest of the Records","2019-07-31","1.5m - 2m",1563001
"Paper & Packaging","Rest of the Records","2019-07-05","4m - 4.5m",4341001
"Specialty Materials","Rest of the Records","2020-02-08","2m - 2.5m",2139001
"Coatings & Inks","Rest of the Records","2018-05-24","2.5m - 3m",2762001
"Textiles","Rest of the Records","2020-01-02","3.5m - 4m",3722001
"Paper & Packaging","Rest of the Records","2017-05-07","4.5m - 5m",4869000
"Textiles","Rest of the Records","2019-12-28","3m - 3.5m",3414001
"Specialty Materials","Rest of the Records","2017-11-21","1m - 1.5m",1278000
"Coatings & Inks","Rest of the Records","2021-02-17","2m - 2.5m",2200001
"Paper & Packaging","Rest of the Records","2018-08-20","2.5m - 3m",2718001
"Specialty Materials","Rest of the Records","2018-02-03","1.5m - 2m",1613001
"Textiles","Rest of the Records","2020-07-22","3.5m - 4m",3692001
"Coatings & Inks","Rest of the Records","2019-05-06","4.5m - 5m",4647000
"Paper & Packaging","Rest of the Records","2017-07-21","4m - 4.5m",4441001
"Specialty Materials","Rest of the Records","2021-01-05","4.5m - 5m",4737000
"Textiles","Rest of the Records","2018-05-14","1m - 1.5m",1345000
"Coatings & Inks","Rest of the Records","2017-07-29","1m - 1.5m",1121000
"Textiles","Rest of the Records","2018-06-26","3m - 3.5m",3156001
"Coatings & Inks","Rest of the Records","2018-03-12","3m - 3.5m",3145001
"Specialty Materials","Rest of the Records","2021-04-22","2m - 2.5m",2031001
"Paper & Packaging","Rest of the Records","2020-11-14","2.5m - 3m",2665001
"Paper & Packaging","Three Months Ago","2021-06-07","1.5m - 2m",1886001
"Textiles","Two Months Ago","2021-07-16","4m - 4.5m",4111001
"Specialty Materials","Current Month","2021-09-25","2m - 2.5m",2274001
"Coatings & Inks","Rest of the Records","2019-12-07","1.5m - 2m",1699001
"Paper & Packaging","Rest of the Records","2020-05-07","3.5m - 4m",3533001
"Specialty Materials","Four Months Ago","2021-05-24","4.5m - 5m",4787000
"Textiles","One Month Ago","2021-08-28","2.5m - 3m",2980001
"Coatings & Inks","Rest of the Records","2020-07-29","3.5m - 4m",3542001
"Coatings & Inks","Rest of the Records","2020-02-06","2m - 2.5m",2429001
"Textiles","Rest of the Records","2017-10-08","3m - 3.5m",3320001
"Paper & Packaging","Rest of the Records","2021-03-07","3m - 3.5m",3127001
"Specialty Materials","Rest of the Records","2018-03-09","3.5m - 4m",3862001
"Specialty Materials","Rest of the Records","2018-01-07","2.5m - 3m",2651001
"Paper & Packaging","Rest of the Records","2019-10-31","1m - 1.5m",1017000
"Textiles","Rest of the Records","2018-02-11","2m - 2.5m",2331001
"Coatings & Inks","Rest of the Records","2020-11-28","4m - 4.5m",4045001
"Paper & Packaging","Rest of the Records","2020-11-08","1m - 1.5m",1237000
"Specialty Materials","Rest of the Records","2018-08-03","1.5m - 2m",1969001
"Coatings & Inks","Rest of the Records","2019-06-04","1m - 1.5m",1304000
"Textiles","Rest of the Records","2019-05-21","4m - 4.5m",4101001
"Specialty Materials","Rest of the Records","2020-04-27","3.5m - 4m",3713001
"Textiles","Rest of the Records","2021-02-17","3m - 3.5m",3029001
"Paper & Packaging","Rest of the Records","2019-10-29","1.5m - 2m",1846001
"Coatings & Inks","Rest of the Records","2020-05-03","4.5m - 5m",4690000
"Coatings & Inks","Rest of the Records","2021-02-10","4.5m - 5m",4676000
"Specialty Materials","Rest of the Records","2019-07-29","2.5m - 3m",2919001
"Textiles","Rest of the Records","2018-07-13","2m - 2.5m",2199001
"Paper & Packaging","Rest of the Records","2017-11-27","4m - 4.5m",4026001
"Paper & Packaging","Rest of the Records","2017-11-18","1m - 1.5m",1173000
"Coatings & Inks","Rest of the Records","2017-11-17","2.5m - 3m",2535001
"Textiles","Rest of the Records","2019-11-15","3m - 3.5m",3018001
"Specialty Materials","Rest of the Records","2019-07-09","4.5m - 5m",4828000
"Coatings & Inks","Rest of the Records","2019-09-07","1.5m - 2m",1986001
"Specialty Materials","Rest of the Records","2017-11-28","3.5m - 4m",3919001
"Paper & Packaging","Rest of the Records","2018-08-25","4.5m - 5m",4668000
"Textiles","Rest of the Records","2019-06-20","1.5m - 2m",1687001
"Specialty Materials","Rest of the Records","2019-10-04","4m - 4.5m",4268001
"Paper & Packaging","Rest of the Records","2019-01-20","1m - 1.5m",1403000
"Textiles","Rest of the Records","2017-08-07","2m - 2.5m",2347001
"Coatings & Inks","Rest of the Records","2019-02-25","4.5m - 5m",4991000
"Textiles","Rest of the Records","2018-06-09","3.5m - 4m",3591001
"Specialty Materials","Rest of the Records","2019-11-21","3m - 3.5m",3357001
"Coatings & Inks","Rest of the Records","2018-06-02","2.5m - 3m",2529001
"Paper & Packaging","Rest of the Records","2020-11-26","4.5m - 5m",4999000
"Specialty Materials","Rest of the Records","2018-11-27","2.5m - 3m",2928001
"Textiles","Rest of the Records","2017-10-31","4.5m - 5m",4564000
"Paper & Packaging","Rest of the Records","2018-12-29","2.5m - 3m",2816001
"Coatings & Inks","Rest of the Records","2017-11-01","3.5m - 4m",3696001
"Textiles","Rest of the Records","2019-08-01","2m - 2.5m",2176001
"Paper & Packaging","Rest of the Records","2020-05-09","3.5m - 4m",3697001
"Coatings & Inks","Rest of the Records","2017-07-08","4m - 4.5m",4135001
"Specialty Materials","Rest of the Records","2020-12-08","1.5m - 2m",1623001
"Paper & Packaging","Rest of the Records","2018-04-07","4m - 4.5m",4452001
"Textiles","Rest of the Records","2018-04-07","3m - 3.5m",3232001
"Coatings & Inks","Rest of the Records","2018-01-09","2m - 2.5m",2135001
"Specialty Materials","Rest of the Records","2020-03-28","1m - 1.5m",1499000
"Textiles","Rest of the Records","2020-08-22","4m - 4.5m",4111001
"Paper & Packaging","Rest of the Records","2019-09-14","1m - 1.5m",1304000
"Coatings & Inks","Rest of the Records","2017-11-30","1m - 1.5m",1462000
"Specialty Materials","Two Months Ago","2021-07-23","4.5m - 5m",4636000
"Specialty Materials","Four Months Ago","2021-05-23","2.5m - 3m",2852001
"Paper & Packaging","Rest of the Records","2018-08-09","2m - 2.5m",2376001
"Coatings & Inks","Current Month","2021-09-13","2.5m - 3m",2699001
"Textiles","Rest of the Records","2020-02-15","3m - 3.5m",3368001
"Coatings & Inks","Three Months Ago","2021-06-10","3m - 3.5m",3221001
"Paper & Packaging","One Month Ago","2021-08-14","1.5m - 2m",1787001
"Textiles","Rest of the Records","2021-01-09","3.5m - 4m",3610001
"Specialty Materials","Rest of the Records","2020-07-28","3m - 3.5m",3134001
"Paper & Packaging","Rest of the Records","2020-07-30","2.5m - 3m",2753001
"Specialty Materials","Rest of the Records","2019-03-02","4.5m - 5m",4963000
"Coatings & Inks","Rest of the Records","2017-07-31","3.5m - 4m",3819001
"Textiles","Rest of the Records","2020-01-11","3.5m - 4m",3572001
"Textiles","Rest of the Records","2017-07-30","2m - 2.5m",2040001
"Paper & Packaging","Rest of the Records","2019-04-07","4m - 4.5m",4319001
"Specialty Materials","Rest of the Records","2020-07-01","1.5m - 2m",1682001
"Coatings & Inks","Rest of the Records","2020-03-19","1.5m - 2m",1810001
"Paper & Packaging","Rest of the Records","2017-09-29","3.5m - 4m",3593001
"Textiles","Rest of the Records","2021-01-05","1m - 1.5m",1061000
"Coatings & Inks","Rest of the Records","2020-04-30","3m - 3.5m",3418001
"Specialty Materials","Rest of the Records","2020-06-12","2.5m - 3m",2558001
"Paper & Packaging","Rest of the Records","2020-03-02","1.5m - 2m",1673001
"Textiles","Rest of the Records","2017-06-16","4m - 4.5m",4490001
"Coatings & Inks","Rest of the Records","2017-10-24","4.5m - 5m",4967000
"Specialty Materials","Rest of the Records","2020-06-23","2m - 2.5m",2159001
"Specialty Materials","Rest of the Records","2017-10-23","1m - 1.5m",1051000
"Coatings & Inks","Rest of the Records","2019-01-21","4m - 4.5m",4374001
"Textiles","Rest of the Records","2019-12-23","4.5m - 5m",4791000
"Paper & Packaging","Rest of the Records","2017-07-13","3m - 3.5m",3052001
"Paper & Packaging","Rest of the Records","2018-11-01","3m - 3.5m",3268001
"Specialty Materials","Rest of the Records","2020-01-31","3.5m - 4m",3500001
"Coatings & Inks","Rest of the Records","2020-06-13","2m - 2.5m",2076001
"Textiles","Rest of the Records","2020-12-20","1m - 1.5m",1248000
"Paper & Packaging","Rest of the Records","2019-10-19","1.5m - 2m",1506001
"Coatings & Inks","Rest of the Records","2019-09-15","3m - 3.5m",3092001
"Specialty Materials","Rest of the Records","2019-08-28","4m - 4.5m",4050001
"Textiles","Rest of the Records","2018-04-04","3m - 3.5m",3097001
"Coatings & Inks","Rest of the Records","2021-03-12","3m - 3.5m",3244001
"Textiles","Rest of the Records","2020-02-20","3.5m - 4m",3948001
"Paper & Packaging","Rest of the Records","2020-10-02","4.5m - 5m",4698000
"Specialty Materials","Rest of the Records","2019-02-19","2m - 2.5m",2052001
"Specialty Materials","Rest of the Records","2019-01-07","2.5m - 3m",2928001
"Textiles","Rest of the Records","2020-03-18","4.5m - 5m",4706000
"Paper & Packaging","Rest of the Records","2018-10-09","4m - 4.5m",4102001
"Coatings & Inks","Rest of the Records","2019-12-17","1m - 1.5m",1057000
"Specialty Materials","Rest of the Records","2019-11-13","3.5m - 4m",3831001
"Paper & Packaging","Rest of the Records","2020-06-25","2m - 2.5m",2073001
"Coatings & Inks","Rest of the Records","2017-06-30","1.5m - 2m",1630001
"Textiles","Rest of the Records","2020-09-15","3m - 3.5m",3088001
"Textiles","Rest of the Records","2020-06-17","1.5m - 2m",1667001
"Specialty Materials","Rest of the Records","2020-07-23","2.5m - 3m",2518001
"Paper & Packaging","Rest of the Records","2019-02-23","1m - 1.5m",1032000
"Coatings & Inks","Rest of the Records","2017-07-16","3.5m - 4m",3816001
"Textiles","Rest of the Records","2020-04-12","1m - 1.5m",1199000
"Coatings & Inks","Rest of the Records","2018-05-10","3m - 3.5m",3379001
"Paper & Packaging","Rest of the Records","2018-09-19","2.5m - 3m",2884001
"Specialty Materials","Rest of the Records","2018-02-02","2m - 2.5m",2337001
"Specialty Materials","Rest of the Records","2018-04-02","3.5m - 4m",3977001
"Textiles","Rest of the Records","2020-08-17","3m - 3.5m",3389001
"Paper & Packaging","One Month Ago","2021-08-13","4.5m - 5m",4615000
"Coatings & Inks","Two Months Ago","2021-07-12","2m - 2.5m",2305001
"Paper & Packaging","Rest of the Records","2017-10-31","1.5m - 2m",1968001
"Specialty Materials","Three Months Ago","2021-06-20","4m - 4.5m",4209001
"Coatings & Inks","Four Months Ago","2021-05-11","3m - 3.5m",3177001
"Textiles","Current Month","2021-09-02","3m - 3.5m",3325001
"Specialty Materials","Rest of the Records","2020-06-26","4.5m - 5m",4857000
"Textiles","Rest of the Records","2018-10-08","1m - 1.5m",1274000
"Paper & Packaging","Rest of the Records","2021-03-15","2m - 2.5m",2384001
"Coatings & Inks","Rest of the Records","2019-05-10","2m - 2.5m",2407001
"Paper & Packaging","Rest of the Records","2020-12-03","1.5m - 2m",1758001
"Specialty Materials","Rest of the Records","2017-10-14","3.5m - 4m",3819001
"Coatings & Inks","Rest of the Records","2019-12-10","2.5m - 3m",2577001
"Textiles","Rest of the Records","2018-08-18","2.5m - 3m",2888001
"Textiles","Rest of the Records","2017-11-02","4m - 4.5m",4085001
"Coatings & Inks","Rest of the Records","2018-10-15","4m - 4.5m",4272001
"Paper & Packaging","Rest of the Records","2017-06-29","3.5m - 4m",3762001
"Specialty Materials","Rest of the Records","2021-04-30","1m - 1.5m",1421000
"Paper & Packaging","Rest of the Records","2017-07-06","2m - 2.5m",2490001
"Coatings & Inks","Rest of the Records","2019-03-24","1m - 1.5m",1318000
"Specialty Materials","Rest of the Records","2018-12-23","1.5m - 2m",1512001
"Textiles","Rest of the Records","2019-03-19","3m - 3.5m",3033001
"Paper & Packaging","Rest of the Records","2020-01-13","4.5m - 5m",4576000
"Coatings & Inks","Rest of the Records","2019-05-16","2.5m - 3m",2566001
"Textiles","Rest of the Records","2018-09-24","3.5m - 4m",3878001
"Specialty Materials","Rest of the Records","2020-12-25","4m - 4.5m",4150001
"Coatings & Inks","Rest of the Records","2018-02-09","3.5m - 4m",3874001
"Paper & Packaging","Rest of the Records","2017-11-20","3m - 3.5m",3150001
"Textiles","Rest of the Records","2020-09-01","1m - 1.5m",1454000
"Specialty Materials","Rest of the Records","2018-05-10","4m - 4.5m",4070001
"Coatings & Inks","Rest of the Records","2019-03-13","3m - 3.5m",3087001
"Paper & Packaging","Rest of the Records","2017-06-16","4.5m - 5m",4663000
"Specialty Materials","Rest of the Records","2018-03-09","3m - 3.5m",3327001
"Textiles","Rest of the Records","2018-12-23","2m - 2.5m",2170001
"Paper & Packaging","Rest of the Records","2017-08-04","1.5m - 2m",1679001
"Specialty Materials","Rest of the Records","2021-04-29","2.5m - 3m",2695001
"Coatings & Inks","Rest of the Records","2018-12-24","4m - 4.5m",4043001
"Textiles","Rest of the Records","2018-10-20","2.5m - 3m",2576001
"Textiles","Rest of the Records","2020-11-20","4m - 4.5m",4268001
"Specialty Materials","Rest of the Records","2020-10-10","2.5m - 3m",2633001
"Coatings & Inks","Rest of the Records","2017-07-11","1.5m - 2m",1566001
"Paper & Packaging","Rest of the Records","2021-03-30","1.5m - 2m",1619001
"Paper & Packaging","Rest of the Records","2017-12-26","2m - 2.5m",2485001
"Textiles","Rest of the Records","2019-05-13","4.5m - 5m",4954000
"Coatings & Inks","Rest of the Records","2020-11-01","4.5m - 5m",4850000
"Specialty Materials","Rest of the Records","2021-02-02","3m - 3.5m",3330001
"Coatings & Inks","Rest of the Records","2019-07-27","2.5m - 3m",2568001
"Paper & Packaging","Rest of the Records","2018-04-12","1m - 1.5m",1011000
"Textiles","Rest of the Records","2019-08-25","3.5m - 4m",3638001
"Specialty Materials","Rest of the Records","2020-01-23","3.5m - 4m",3992001
"Coatings & Inks","Rest of the Records","2020-06-05","1m - 1.5m",1094000
"Paper & Packaging","Rest of the Records","2020-05-06","4m - 4.5m",4171001
"Specialty Materials","Rest of the Records","2019-04-05","1m - 1.5m",1475000
"Textiles","Rest of the Records","2021-04-15","2m - 2.5m",2333001
"Paper & Packaging","Rest of the Records","2020-04-16","1.5m - 2m",1744001
"Specialty Materials","Rest of the Records","2019-10-21","2.5m - 3m",2598001
"Coatings & Inks","Rest of the Records","2018-08-11","4.5m - 5m",4825000
"Textiles","Rest of the Records","2018-08-10","3m - 3.5m",3387001
"Coatings & Inks","Rest of the Records","2019-12-20","2m - 2.5m",2499001
"Textiles","Current Month","2021-09-07","3.5m - 4m",3858001
"Specialty Materials","Two Months Ago","2021-07-21","4.5m - 5m",4927000
"Paper & Packaging","Rest of the Records","2018-04-27","1m - 1.5m",1123000
"Textiles","Three Months Ago","2021-06-04","3.5m - 4m",3796001
"Specialty Materials","One Month Ago","2021-08-16","4.5m - 5m",4901000
"Coatings & Inks","Four Months Ago","2021-05-06","3m - 3.5m",3365001
"Paper & Packaging","Rest of the Records","2018-11-05","1.5m - 2m",1904001
"Textiles","Rest of the Records","2021-03-16","2.5m - 3m",2539001
"Coatings & Inks","Rest of the Records","2018-11-19","1.5m - 2m",1792001
"Specialty Materials","Rest of the Records","2017-12-21","2m - 2.5m",2266001
"Paper & Packaging","Rest of the Records","2019-01-23","3m - 3.5m",3045001
"Coatings & Inks","Rest of the Records","2020-02-18","3.5m - 4m",3764001
"Specialty Materials","Rest of the Records","2017-11-20","3.5m - 4m",3718001
"Textiles","Rest of the Records","2020-02-17","1m - 1.5m",1135000
"Paper & Packaging","Rest of the Records","2018-01-07","3m - 3.5m",3402001
"Coatings & Inks","Rest of the Records","2021-02-07","4.5m - 5m",4540000
"Paper & Packaging","Rest of the Records","2019-03-22","4m - 4.5m",4128001
"Textiles","Rest of the Records","2020-12-31","2m - 2.5m",2480001
"Specialty Materials","Rest of the Records","2019-11-18","4.5m - 5m",4644000
"Specialty Materials","Rest of the Records","2018-08-01","1.5m - 2m",1823001
"Coatings & Inks","Rest of the Records","2020-02-15","2m - 2.5m",2125001
"Paper & Packaging","Rest of the Records","2019-05-04","3m - 3.5m",3224001
"Textiles","Rest of the Records","2018-02-05","2.5m - 3m",2628001
"Textiles","Rest of the Records","2019-08-05","4m - 4.5m",4383001
"Coatings & Inks","Rest of the Records","2020-07-19","3m - 3.5m",3457001
"Paper & Packaging","Rest of the Records","2020-03-01","4m - 4.5m",4311001
"Specialty Materials","Rest of the Records","2017-12-06","3.5m - 4m",3719001
"Specialty Materials","Rest of the Records","2017-11-28","4.5m - 5m",4808000
"Paper & Packaging","Rest of the Records","2018-09-15","1.5m - 2m",1512001
"Textiles","Rest of the Records","2021-02-27","3m - 3.5m",3281001
"Coatings & Inks","Rest of the Records","2017-07-23","3.5m - 4m",3986001
"Textiles","Rest of the Records","2019-05-16","2m - 2.5m",2420001
"Paper & Packaging","Rest of the Records","2018-11-15","3.5m - 4m",3922001
"Coatings & Inks","Rest of the Records","2017-12-25","3m - 3.5m",3288001
"Specialty Materials","Rest of the Records","2019-07-05","1m - 1.5m",1373000
"Paper & Packaging","Rest of the Records","2019-07-02","2.5m - 3m",2935001
"Specialty Materials","Rest of the Records","2017-09-30","1m - 1.5m",1367000
"Coatings & Inks","Rest of the Records","2019-10-20","4m - 4.5m",4061001
"Textiles","Rest of the Records","2019-04-03","2m - 2.5m",2202001
"Paper & Packaging","Rest of the Records","2019-01-17","4m - 4.5m",4236001
"Textiles","Rest of the Records","2019-06-25","2.5m - 3m",2588001
"Coatings & Inks","Rest of the Records","2020-12-11","1.5m - 2m",1796001
"Specialty Materials","Rest of the Records","2019-06-19","1.5m - 2m",1837001
"Specialty Materials","Rest of the Records","2018-03-16","3m - 3.5m",3045001
"Coatings & Inks","Rest of the Records","2017-05-29","2.5m - 3m",2756001
"Textiles","Rest of the Records","2020-03-02","3.5m - 4m",3731001
"Paper & Packaging","Rest of the Records","2019-04-04","1m - 1.5m",1480000
"Specialty Materials","Rest of the Records","2021-01-12","3m - 3.5m",3218001
"Paper & Packaging","Rest of the Records","2018-01-15","4m - 4.5m",4117001
"Textiles","Rest of the Records","2018-07-28","1.5m - 2m",1931001
"Coatings & Inks","Rest of the Records","2017-07-21","4.5m - 5m",4752000
"Coatings & Inks","Rest of the Records","2020-07-28","3.5m - 4m",3867001
"Textiles","Rest of the Records","2018-05-29","2m - 2.5m",2482001
"Specialty Materials","Rest of the Records","2018-11-07","3.5m - 4m",3929001
"Paper & Packaging","Rest of the Records","2019-12-09","2.5m - 3m",2864001
"Textiles","Rest of the Records","2018-09-12","4.5m - 5m",4713000
"Coatings & Inks","Rest of the Records","2018-04-11","2m - 2.5m",2136001
"Specialty Materials","Rest of the Records","2020-08-19","3m - 3.5m",3125001
"Paper & Packaging","Rest of the Records","2020-11-12","4m - 4.5m",4443001
"Paper & Packaging","Current Month","2021-09-07","4.5m - 5m",4656000
"Coatings & Inks","Four Months Ago","2021-05-05","3m - 3.5m",3085001
"Textiles","Rest of the Records","2018-11-21","1m - 1.5m",1258000
"Specialty Materials","Rest of the Records","2018-08-10","4.5m - 5m",4865000
"Paper & Packaging","One Month Ago","2021-08-17","1.5m - 2m",1908001
"Textiles","Two Months Ago","2021-07-24","2.5m - 3m",2933001
"Coatings & Inks","Rest of the Records","2020-02-26","3m - 3.5m",3389001
"Specialty Materials","Rest of the Records","2017-08-20","3.5m - 4m",3966001
"Coatings & Inks","Three Months Ago","2021-06-13","2.5m - 3m",2673001
"Specialty Materials","Rest of the Records","2019-07-13","3m - 3.5m",3113001
"Paper & Packaging","Rest of the Records","2019-11-16","3.5m - 4m",3507001
"Textiles","Rest of the Records","2020-12-14","1m - 1.5m",1322000
"Specialty Materials","Rest of the Records","2019-09-03","4m - 4.5m",4480001
"Paper & Packaging","Rest of the Records","2017-11-15","2.5m - 3m",2511001
"Textiles","Rest of the Records","2019-05-11","1.5m - 2m",1774001
"Coatings & Inks","Rest of the Records","2017-06-10","2.5m - 3m",2700001
"Specialty Materials","Rest of the Records","2017-06-21","4.5m - 5m",4658000
"Paper & Packaging","Rest of the Records","2017-11-03","2m - 2.5m",2361001
"Coatings & Inks","Rest of the Records","2019-10-19","1m - 1.5m",1350000
"Textiles","Rest of the Records","2020-10-11","3m - 3.5m",3123001
"Textiles","Rest of the Records","2018-01-05","4m - 4.5m",4458001
"Specialty Materials","Rest of the Records","2019-09-10","3.5m - 4m",3660001
"Coatings & Inks","Rest of the Records","2017-08-07","1.5m - 2m",1678001
"Paper & Packaging","Rest of the Records","2020-03-30","4.5m - 5m",4736000
"Paper & Packaging","Rest of the Records","2020-05-20","1.5m - 2m",1806001
"Specialty Materials","Rest of the Records","2020-04-13","2m - 2.5m",2230001
"Textiles","Rest of the Records","2018-02-22","2.5m - 3m",2554001
"Coatings & Inks","Rest of the Records","2021-03-08","1m - 1.5m",1437000
"Specialty Materials","Rest of the Records","2018-04-14","3m - 3.5m",3194001
"Textiles","Rest of the Records","2018-02-24","3.5m - 4m",3788001
"Coatings & Inks","Rest of the Records","2018-05-21","4m - 4.5m",4192001
"Paper & Packaging","Rest of the Records","2021-02-17","2m - 2.5m",2225001
