"Period","CommercialSegment","PeriodStartDate","RevenueBucket","Revenue"
"Rest of years","Distribution","2017-11-26","4m - 4.5m",4073001
"Previous Year","Innovator","2020-07-13","4m - 4.5m",4214001
"Q3","Follower","2021-07-22","3.5m - 4m",3874001
"Q1","Commodity","2021-03-23","4m - 4.5m",4208001
"Q2","Distribution","2021-06-22","3m - 3.5m",3238000
"Rest of years","Commodity","2018-03-24","3m - 3.5m",3155000
"Q2","Follower","2021-04-22","3m - 3.5m",3042000
"Q3","Innovator","2021-09-05","3.5m - 4m",3641001
"Rest of years","Commodity","2018-02-14","4m - 4.5m",4367001
"Q3","Innovator","2021-07-27","3.5m - 4m",3521001
"Q2","Follower","2021-05-20","3m - 3.5m",3400000
"Rest of years","Distribution","2019-03-30","4m - 4.5m",4316001
"Q1","Follower","2021-03-15","4m - 4.5m",4008001
"Q3","Commodity","2021-07-06","3m - 3.5m",3466000
"Previous Year","Distribution","2020-03-22","4.5m - 5m",4624001
"Rest of years","Innovator","2017-10-04","4m - 4.5m",4066001
"Q2","Distribution","2021-05-25","3m - 3.5m",3179000
"Q3","Follower","2021-08-29","3.5m - 4m",3900001
"Q2","Innovator","2021-06-25","3m - 3.5m",3239000
"Rest of years","Commodity","2017-08-12","4m - 4.5m",4365001
"Rest of years","Innovator","2019-12-30","3m - 3.5m",3352000
"Q3","Commodity","2021-07-03","3m - 3.5m",3343000
"Q2","Follower","2021-06-08","4m - 4.5m",4488001
"Previous Year","Distribution","2020-06-19","3m - 3.5m",3407000
"Q2","Distribution","2021-04-15","4m - 4.5m",4180001
"Rest of years","Commodity","2017-10-01","4m - 4.5m",4370001
"Q3","Innovator","2021-07-28","3.5m - 4m",3885001
"Q3","Follower","2021-07-11","4m - 4.5m",4106001
"Q1","Distribution","2021-02-02","3m - 3.5m",3189000
"Rest of years","Innovator","2018-05-18","3.5m - 4m",3594001
"Q2","Follower","2021-04-25","3m - 3.5m",3159000
"Rest of years","Commodity","2018-11-22","4m - 4.5m",4313001
"Q2","Innovator","2021-05-30","3m - 3.5m",3478000
"Q3","Follower","2021-07-07","4.5m - 5m",4657001
"Q2","Commodity","2021-05-23","3m - 3.5m",3146000
"Previous Year","Distribution","2020-11-02","3.5m - 4m",3889001
"Rest of years","Distribution","2019-07-22","3m - 3.5m",3292000
"Q1","Commodity","2021-03-05","4m - 4.5m",4442001
"Q3","Innovator","2021-08-01","3.5m - 4m",3609001
"Q2","Follower","2021-04-29","4m - 4.5m",4235001
"Rest of years","Commodity","2019-12-18","4m - 4.5m",4000001
"Q3","Follower","2021-08-21","4m - 4.5m",4112001
"Q3","Innovator","2021-07-31","3.5m - 4m",3541001
"Q2","Distribution","2021-05-20","3m - 3.5m",3191000
"Rest of years","Follower","2017-11-05","3m - 3.5m",3475000
"Previous Year","Innovator","2020-08-24","4m - 4.5m",4449001
"Rest of years","Commodity","2018-03-07","4m - 4.5m",4450001
"Q2","Distribution","2021-04-15","3m - 3.5m",3415000
"Q3","Commodity","2021-08-02","4m - 4.5m",4233001
"Q3","Innovator","2021-08-31","3.5m - 4m",3558001
"Q1","Distribution","2021-03-15","4.5m - 5m",4979001
"Q2","Follower","2021-04-24","4m - 4.5m",4491001
"Rest of years","Distribution","2019-04-17","3m - 3.5m",3386000
"Q3","Commodity","2021-09-06","3m - 3.5m",3372000
"Rest of years","Follower","2018-01-06","4m - 4.5m",4340001
"Q2","Innovator","2021-06-10","3m - 3.5m",3402000
"Q2","Distribution","2021-05-06","3.5m - 4m",3918001
"Previous Year","Follower","2020-03-06","4m - 4.5m",4218001
"Rest of years","Commodity","2018-12-02","3m - 3.5m",3262000
"Q1","Innovator","2021-01-25","4m - 4.5m",4476001
"Rest of years","Commodity","2017-10-19","4m - 4.5m",4231001
"Q3","Distribution","2021-07-02","3m - 3.5m",3438000
"Q2","Follower","2021-06-06","3m - 3.5m",3490000
"Q3","Innovator","2021-08-08","3.5m - 4m",3919001
"Q3","Commodity","2021-08-31","4m - 4.5m",4316001
"Rest of years","Follower","2017-08-28","4m - 4.5m",4236001
"Q2","Innovator","2021-06-15","3m - 3.5m",3113000
"Q1","Distribution","2021-01-27","3m - 3.5m",3260000
"Q2","Innovator","2021-05-15","3m - 3.5m",3283000
"Q3","Commodity","2021-09-12","4m - 4.5m",4288001
"Rest of years","Distribution","2018-03-11","3.5m - 4m",3730001
"Rest of years","Follower","2019-02-22","3m - 3.5m",3026000
"Q3","Commodity","2021-09-07","4m - 4.5m",4428001
"Q2","Innovator","2021-04-19","3m - 3.5m",3151000
"Previous Year","Distribution","2020-08-16","3m - 3.5m",3472000
"Rest of years","Follower","2017-11-16","4.5m - 5m",4819001
"Q2","Follower","2021-04-15","4m - 4.5m",4140001
"Q3","Distribution","2021-09-14","3m - 3.5m",3125000
"Q2","Innovator","2021-05-22","3m - 3.5m",3318000
"Q3","Commodity","2021-09-06","4m - 4.5m",4418001
"Previous Year","Distribution","2020-08-22","4m - 4.5m",4457001
"Q1","Follower","2021-03-10","3m - 3.5m",3205000
"Q2","Commodity","2021-05-29","3m - 3.5m",3047000
"Rest of years","Innovator","2017-07-15","4.5m - 5m",4854001
"Q3","Commodity","2021-07-01","4m - 4.5m",4381001
"Rest of years","Follower","2017-07-08","3.5m - 4m",3872001
"Rest of years","Innovator","2017-01-18","3m - 3.5m",3085000
"Q2","Distribution","2021-05-30","4m - 4.5m",4019001
"Q3","Innovator","2021-07-10","3.5m - 4m",3729001
"Q1","Commodity","2021-02-14","3m - 3.5m",3457000
"Previous Year","Distribution","2020-03-14","3m - 3.5m",3050000
"Rest of years","Follower","2018-07-28","4m - 4.5m",4485001
"Q2","Commodity","2021-06-05","4.5m - 5m",4548001
"Q3","Innovator","2021-08-09","3.5m - 4m",3725001
"Q3","Distribution","2021-09-06","4m - 4.5m",4113001
"Rest of years","Follower","2019-06-14","3m - 3.5m",3136000
"Q2","Commodity","2021-04-03","4m - 4.5m",4456001
"Q2","Follower","2021-06-13","3m - 3.5m",3060000
"Q3","Innovator","2021-09-06","3.5m - 4m",3676001
"Rest of years","Distribution","2019-08-20","3.5m - 4m",3825001
"Q1","Distribution","2021-02-27","3m - 3.5m",3375000
"Rest of years","Innovator","2019-07-31","4m - 4.5m",4093001
"Q3","Follower","2021-09-13","4m - 4.5m",4353001
"Previous Year","Commodity","2020-02-13","3m - 3.5m",3366000
"Q3","Distribution","2021-08-02","4m - 4.5m",4008001
"Q2","Follower","2021-04-23","4.5m - 5m",4900001
"Q2","Commodity","2021-05-07","4m - 4.5m",4032001
"Rest of years","Innovator","2018-04-13","4m - 4.5m",4289001
"Rest of years","Distribution","2018-09-13","4m - 4.5m",4121001
"Q3","Follower","2021-08-20","3m - 3.5m",3493000
"Q2","Innovator","2021-04-13","3m - 3.5m",3372000
"Q3","Commodity","2021-08-10","3m - 3.5m",3198000
"Q2","Follower","2021-06-08","4m - 4.5m",4449001
"Previous Year","Innovator","2020-12-04","4m - 4.5m",4008001
"Q1","Distribution","2021-03-29","4m - 4.5m",4443001
"Q2","Commodity","2021-06-09","3m - 3.5m",3019000
"Q3","Commodity","2021-09-12","4m - 4.5m",4105001
"Rest of years","Distribution","2019-11-30","3m - 3.5m",3021000
"Rest of years","Follower","2019-07-27","3.5m - 4m",3533001
"Q3","Innovator","2021-09-16","3.5m - 4m",3736001
"Rest of years","Commodity","2019-03-12","3m - 3.5m",3132000
"Q2","Innovator","2021-05-26","3m - 3.5m",3126000
"Rest of years","Distribution","2017-06-20","4m - 4.5m",4031001
"Q2","Follower","2021-04-25","4m - 4.5m",4117001
"Q1","Follower","2021-03-19","4.5m - 5m",4535001
"Q3","Innovator","2021-09-01","3.5m - 4m",3796001
"Rest of years","Distribution","2019-07-27","4m - 4.5m",4016001
"Q2","Commodity","2021-06-03","3m - 3.5m",3494000
"Q3","Innovator","2021-09-29","3.5m - 4m",3688001
"Previous Year","Follower","2020-03-05","3m - 3.5m",3366000
"Rest of years","Distribution","2018-01-21","4m - 4.5m",4423001
"Q2","Commodity","2021-06-10","3.5m - 4m",3970001
"Q3","Follower","2021-09-13","3m - 3.5m",3045000
"Q2","Commodity","2021-06-22","4m - 4.5m",4283001
"Previous Year","Innovator","2020-06-13","4m - 4.5m",4327001
"Q1","Distribution","2021-03-30","4m - 4.5m",4191001
"Rest of years","Distribution","2019-12-10","3m - 3.5m",3124000
"Q2","Commodity","2021-05-21","4m - 4.5m",4258001
"Rest of years","Follower","2018-06-25","3m - 3.5m",3083000
"Q3","Innovator","2021-09-10","3.5m - 4m",3626001
"Q3","Commodity","2021-09-22","4m - 4.5m",4272001
"Q2","Distribution","2021-06-10","4.5m - 5m",4587001
"Rest of years","Innovator","2017-07-02","3m - 3.5m",3251000
"Q3","Follower","2021-09-08","3m - 3.5m",3435000
"Rest of years","Follower","2017-07-31","4m - 4.5m",4089001
"Q3","Innovator","2021-09-03","3.5m - 4m",3786001
"Q2","Distribution","2021-04-12","3m - 3.5m",3461000
"Q1","Commodity","2021-03-17","4m - 4.5m",4113001
"Q3","Innovator","2021-07-19","3.5m - 4m",3716001
"Rest of years","Commodity","2018-07-29","3.5m - 4m",3858001
"Previous Year","Distribution","2020-12-27","3m - 3.5m",3351000
"Q2","Follower","2021-04-19","4m - 4.5m",4137001
"Q2","Innovator","2021-05-25","3m - 3.5m",3053000
"Rest of years","Commodity","2017-09-06","4m - 4.5m",4025001
"Q3","Follower","2021-07-19","3m - 3.5m",3275000
"Q2","Distribution","2021-04-18","3m - 3.5m",3166000
"Rest of years","Distribution","2018-01-03","3m - 3.5m",3149000
"Previous Year","Follower","2020-12-27","4m - 4.5m",4098001
"Q3","Commodity","2021-09-07","4m - 4.5m",4442001
"Q1","Innovator","2021-01-11","3m - 3.5m",3233000
"Q3","Follower","2021-09-22","4.5m - 5m",4612001
"Rest of years","Innovator","2018-03-23","3.5m - 4m",3721001
"Q2","Commodity","2021-05-22","4m - 4.5m",4381001
"Q3","Distribution","2021-09-19","3m - 3.5m",3169000
"Q2","Follower","2021-04-20","4m - 4.5m",4216001
"Rest of years","Innovator","2017-03-10","4m - 4.5m",4257001
"Q1","Distribution","2021-01-18","3m - 3.5m",3022000
"Q3","Commodity","2021-09-16","4m - 4.5m",4358001
"Rest of years","Distribution","2018-02-27","3.5m - 4m",3704001
"Previous Year","Follower","2020-10-16","3m - 3.5m",3003000
"Q2","Commodity","2021-04-29","4m - 4.5m",4460001
"Q2","Innovator","2021-04-27","3m - 3.5m",3457000
"Q3","Distribution","2021-09-15","3m - 3.5m",3369000
"Rest of years","Commodity","2017-07-07","4m - 4.5m",4318001
"Q2","Innovator","2021-05-03","3m - 3.5m",3436000
"Rest of years","Follower","2019-11-03","3m - 3.5m",3375000
"Q3","Innovator","2021-07-18","3.5m - 4m",3999001
"Q1","Commodity","2021-03-19","3m - 3.5m",3151000
"Q3","Distribution","2021-07-16","4m - 4.5m",4251001
"Rest of years","Follower","2019-11-24","4.5m - 5m",4525001
"Previous Year","Commodity","2020-07-07","3.5m - 4m",3568001
"Rest of years","Distribution","2018-03-03","3m - 3.5m",3362000
"Q3","Follower","2021-07-08","3m - 3.5m",3407000
"Q2","Innovator","2021-05-11","3m - 3.5m",3498000
"Q2","Distribution","2021-04-24","4m - 4.5m",4073001
"Q2","Innovator","2021-06-20","3m - 3.5m",3486000
"Rest of years","Follower","2019-03-25","4m - 4.5m",4329001
"Q3","Commodity","2021-08-16","4m - 4.5m",4328001
"Rest of years","Commodity","2017-03-11","4m - 4.5m",4447001
"Q1","Distribution","2021-02-27","3m - 3.5m",3207000
"Q2","Innovator","2021-05-08","3m - 3.5m",3080000
"Previous Year","Follower","2020-09-05","4m - 4.5m",4213001
"Q2","Commodity","2021-04-09","3m - 3.5m",3239000
"Q3","Follower","2021-09-27","3m - 3.5m",3478000
"Q3","Innovator","2021-09-17","3.5m - 4m",3557001
"Rest of years","Distribution","2017-10-21","4m - 4.5m",4190001
"Q2","Distribution","2021-06-29","3m - 3.5m",3029000
"Q3","Commodity","2021-08-17","4m - 4.5m",4436001
"Rest of years","Innovator","2018-09-17","3m - 3.5m",3308000
"Q1","Follower","2021-02-04","3.5m - 4m",3886001
"Q3","Follower","2021-08-05","4.5m - 5m",4653001
"Q2","Commodity","2021-06-21","3m - 3.5m",3275000
"Previous Year","Innovator","2020-07-11","4m - 4.5m",4412001
"Q2","Distribution","2021-05-07","3m - 3.5m",3066000
"Rest of years","Follower","2019-07-30","4m - 4.5m",4236001
"Q3","Innovator","2021-07-04","3.5m - 4m",3908001
"Rest of years","Commodity","2017-03-08","4m - 4.5m",4097001
"Q3","Distribution","2021-07-06","4m - 4.5m",4100001
"Q2","Innovator","2021-04-11","3m - 3.5m",3198000
"Rest of years","Follower","2017-10-20","3m - 3.5m",3482000
"Previous Year","Commodity","2020-05-18","3m - 3.5m",3431000
"Rest of years","Distribution","2018-12-30","4m - 4.5m",4031001
"Q3","Innovator","2021-08-02","3.5m - 4m",3789001
"Q1","Follower","2021-02-11","3.5m - 4m",3818001
"Q3","Distribution","2021-08-02","3m - 3.5m",3277000
"Rest of years","Commodity","2017-08-17","4m - 4.5m",4276001
"Q2","Commodity","2021-04-13","3m - 3.5m",3114000
"Q2","Innovator","2021-06-12","3m - 3.5m",3238000
"Q3","Distribution","2021-08-07","4m - 4.5m",4420001
"Rest of years","Follower","2017-10-25","4.5m - 5m",4757001
"Q2","Commodity","2021-06-26","3m - 3.5m",3485000
"Q1","Follower","2021-01-22","4m - 4.5m",4139001
"Q3","Innovator","2021-08-27","3.5m - 4m",3529001
"Rest of years","Distribution","2019-07-07","3m - 3.5m",3418000
"Previous Year","Commodity","2020-05-08","4m - 4.5m",4275001
"Q3","Innovator","2021-07-27","3.5m - 4m",3506001
"Q2","Distribution","2021-05-12","4m - 4.5m",4487001
"Rest of years","Follower","2018-02-11","4m - 4.5m",4036001
"Q2","Innovator","2021-04-02","3m - 3.5m",3042000
"Q2","Distribution","2021-05-10","3m - 3.5m",3268000
"Q3","Follower","2021-09-25","3.5m - 4m",3695001
"Rest of years","Commodity","2017-02-15","4m - 4.5m",4305001
"Q3","Commodity","2021-08-19","3m - 3.5m",3116000
"Q2","Innovator","2021-06-10","3m - 3.5m",3305000
"Rest of years","Follower","2019-06-05","3m - 3.5m",3134000
"Q1","Distribution","2021-02-28","4m - 4.5m",4485001
"Previous Year","Follower","2020-04-08","4.5m - 5m",4940001
"Rest of years","Innovator","2019-12-14","4m - 4.5m",4169001
"Q3","Distribution","2021-08-26","3m - 3.5m",3167000
"Q2","Commodity","2021-04-06","4m - 4.5m",4350001
"Q3","Commodity","2021-07-11","4m - 4.5m",4483001
"Rest of years","Follower","2019-05-10","3m - 3.5m",3481000
"Q2","Innovator","2021-05-06","3m - 3.5m",3250000
"Previous Year","Distribution","2020-11-04","3m - 3.5m",3458000
"Q2","Innovator","2021-05-25","3m - 3.5m",3274000
"Q3","Follower","2021-08-19","3.5m - 4m",3962001
"Rest of years","Commodity","2018-12-07","4m - 4.5m",4314001
"Q3","Distribution","2021-07-16","4m - 4.5m",4189001
"Q1","Follower","2021-02-03","3m - 3.5m",3351000
"Rest of years","Distribution","2018-05-16","4m - 4.5m",4020001
"Q2","Innovator","2021-04-26","3m - 3.5m",3362000
"Rest of years","Commodity","2019-07-12","3m - 3.5m",3486000
"Q2","Distribution","2021-04-18","4m - 4.5m",4020001
"Q3","Commodity","2021-08-04","4.5m - 5m",4679001
"Q3","Follower","2021-08-05","3m - 3.5m",3489000
"Q1","Innovator","2021-03-19","4m - 4.5m",4493001
"Rest of years","Innovator","2017-07-18","3.5m - 4m",3613001
"Q2","Commodity","2021-06-25","3m - 3.5m",3008000
"Q3","Follower","2021-07-24","4m - 4.5m",4074001
"Rest of years","Distribution","2018-10-14","4m - 4.5m",4320001
"Previous Year","Follower","2020-09-23","3m - 3.5m",3223000
"Q2","Commodity","2021-04-19","3.5m - 4m",3865001
"Rest of years","Distribution","2017-09-11","3m - 3.5m",3460000
"Q3","Innovator","2021-09-27","3.5m - 4m",3676001
"Q2","Follower","2021-05-31","4m - 4.5m",4020001
"Q2","Commodity","2021-05-13","4m - 4.5m",4043001
"Rest of years","Innovator","2019-05-20","4m - 4.5m",4088001
"Q3","Distribution","2021-08-14","4m - 4.5m",4067001
"Previous Year","Commodity","2020-03-20","3m - 3.5m",3464000
"Q3","Innovator","2021-08-29","3.5m - 4m",3601001
"Rest of years","Distribution","2019-06-28","3m - 3.5m",3106000
"Q2","Follower","2021-04-20","4m - 4.5m",4454001
"Q1","Commodity","2021-01-01","4.5m - 5m",4695001
"Q2","Innovator","2021-06-20","3m - 3.5m",3323000
"Q3","Follower","2021-07-15","4m - 4.5m",4173001
"Rest of years","Distribution","2017-04-12","4m - 4.5m",4250001
"Q2","Innovator","2021-06-19","3m - 3.5m",3332000
"Q1","Distribution","2021-02-04","3m - 3.5m",3104000
"Q3","Follower","2021-09-26","3.5m - 4m",3952001
"Rest of years","Commodity","2018-12-13","3m - 3.5m",3474000
"Previous Year","Innovator","2020-04-10","4m - 4.5m",4316001
"Q2","Commodity","2021-06-11","4m - 4.5m",4263001
"Rest of years","Follower","2018-09-30","4m - 4.5m",4353001
"Q3","Distribution","2021-07-02","3m - 3.5m",3007000
"Q3","Follower","2021-08-27","4m - 4.5m",4094001
"Rest of years","Commodity","2019-05-01","3m - 3.5m",3277000
"Q2","Distribution","2021-05-17","3m - 3.5m",3175000
"Rest of years","Innovator","2017-10-19","4m - 4.5m",4452001
"Q2","Distribution","2021-04-21","4m - 4.5m",4013001
"Q3","Follower","2021-08-07","4.5m - 5m",4894001
"Q1","Commodity","2021-03-07","3m - 3.5m",3090000
"Previous Year","Innovator","2020-06-11","4m - 4.5m",4051001
"Rest of years","Distribution","2019-06-24","4m - 4.5m",4078001
"Q2","Follower","2021-04-04","4m - 4.5m",4269001
"Q3","Innovator","2021-07-27","3.5m - 4m",3717001
"Rest of years","Commodity","2018-01-19","3.5m - 4m",3716001
"Q2","Follower","2021-04-08","4m - 4.5m",4480001
"Q3","Innovator","2021-08-31","3.5m - 4m",3753001
"Q2","Commodity","2021-05-19","3m - 3.5m",3286000
"Previous Year","Distribution","2020-04-15","3m - 3.5m",3123000
"Q3","Innovator","2021-07-30","3.5m - 4m",3619001
"Q1","Distribution","2021-03-31","4m - 4.5m",4071001
"Q3","Follower","2021-09-26","3m - 3.5m",3175000
"Q2","Commodity","2021-05-07","4m - 4.5m",4255001
"Rest of years","Commodity","2019-02-16","3m - 3.5m",3068000
"Rest of years","Follower","2019-09-29","4m - 4.5m",4457001
"Q3","Distribution","2021-08-10","3m - 3.5m",3455000
"Rest of years","Innovator","2018-10-01","4m - 4.5m",4356001
"Q2","Distribution","2021-06-08","4.5m - 5m",4728001
"Previous Year","Commodity","2020-10-01","3.5m - 4m",3976001
"Q3","Innovator","2021-07-03","3.5m - 4m",3566001
"Q1","Follower","2021-03-17","4m - 4.5m",4415001
"Q2","Innovator","2021-04-27","3m - 3.5m",3279000
"Q2","Commodity","2021-04-28","4m - 4.5m",4466001
"Q3","Follower","2021-08-30","3m - 3.5m",3355000
"Rest of years","Distribution","2019-05-24","4m - 4.5m",4313001
"Rest of years","Distribution","2019-08-31","3m - 3.5m",3206000
"Rest of years","Follower","2018-07-09","4m - 4.5m",4121001
"Q2","Innovator","2021-06-03","3m - 3.5m",3074000
"Q3","Commodity","2021-08-03","3m - 3.5m",3391000
"Q2","Commodity","2021-06-16","4m - 4.5m",4122001
"Q1","Follower","2021-03-01","3m - 3.5m",3064000
"Previous Year","Distribution","2020-10-08","3m - 3.5m",3334000
"Q3","Innovator","2021-08-27","3.5m - 4m",3730001
"Rest of years","Distribution","2017-08-14","4m - 4.5m",4374001
"Rest of years","Innovator","2019-01-30","3m - 3.5m",3306000
"Q3","Commodity","2021-09-25","3.5m - 4m",3840001
"Q2","Follower","2021-04-14","4m - 4.5m",4109001
"Q3","Commodity","2021-09-02","3m - 3.5m",3266000
"Q2","Follower","2021-04-24","4m - 4.5m",4475001
"Rest of years","Distribution","2019-08-19","4.5m - 5m",4846001
"Rest of years","Innovator","2017-08-27","3m - 3.5m",3317000
"Q3","Distribution","2021-07-30","3m - 3.5m",3194000
"Q2","Follower","2021-06-27","4m - 4.5m",4477001
"Previous Year","Commodity","2020-01-17","3m - 3.5m",3494000
"Q1","Innovator","2021-02-26","3.5m - 4m",3861001
"Rest of years","Commodity","2018-05-03","3m - 3.5m",3178000
"Q2","Innovator","2021-04-13","3m - 3.5m",3168000
"Q3","Follower","2021-08-11","4m - 4.5m",4329001
"Q2","Distribution","2021-06-24","4m - 4.5m",4442001
"Q3","Follower","2021-07-25","3m - 3.5m",3374000
"Rest of years","Distribution","2017-10-02","4m - 4.5m",4131001
"Rest of years","Commodity","2019-08-21","3m - 3.5m",3479000
"Q1","Innovator","2021-01-25","3m - 3.5m",3090000
"Q2","Innovator","2021-04-04","3m - 3.5m",3292000
"Previous Year","Distribution","2020-10-24","3.5m - 4m",3783001
"Q2","Follower","2021-05-26","4m - 4.5m",4313001
"Rest of years","Commodity","2017-12-10","4.5m - 5m",4859001
"Q3","Innovator","2021-08-18","3.5m - 4m",3698001
"Q3","Distribution","2021-09-03","4m - 4.5m",4016001
"Q2","Follower","2021-06-13","3m - 3.5m",3342000
"Q3","Commodity","2021-09-30","3m - 3.5m",3241000
"Rest of years","Commodity","2019-10-05","4m - 4.5m",4472001
"Rest of years","Follower","2018-10-22","4m - 4.5m",4401001
"Q2","Innovator","2021-04-07","3m - 3.5m",3238000
"Q3","Distribution","2021-08-04","3m - 3.5m",3005000
"Q1","Distribution","2021-01-03","4m - 4.5m",4347001
"Q2","Follower","2021-04-16","3m - 3.5m",3271000
"Previous Year","Commodity","2020-03-04","4m - 4.5m",4215001
"Q3","Innovator","2021-07-16","3.5m - 4m",3822001
"Rest of years","Distribution","2018-10-07","3.5m - 4m",3724001
"Q2","Commodity","2021-05-02","3m - 3.5m",3388000
"Q3","Follower","2021-07-05","3m - 3.5m",3246000
"Rest of years","Innovator","2019-04-06","3.5m - 4m",3815001
"Q3","Follower","2021-09-13","4.5m - 5m",4618001
"Rest of years","Innovator","2019-11-18","4m - 4.5m",4058001
"Q2","Distribution","2021-04-15","4m - 4.5m",4045001
"Previous Year","Commodity","2020-11-24","4m - 4.5m",4392001
"Rest of years","Innovator","2018-03-06","4m - 4.5m",4180001
"Q1","Distribution","2021-03-28","4m - 4.5m",4369001
"Q3","Follower","2021-08-03","3m - 3.5m",3173000
"Q2","Commodity","2021-06-02","4m - 4.5m",4117001
"Q2","Follower","2021-04-26","3m - 3.5m",3083000
"Rest of years","Commodity","2017-01-12","3m - 3.5m",3054000
"Q3","Distribution","2021-08-17","4m - 4.5m",4101001
"Rest of years","Innovator","2017-11-26","3m - 3.5m",3114000
"Previous Year","Commodity","2020-10-08","3m - 3.5m",3402000
"Q3","Innovator","2021-08-29","3.5m - 4m",3911001
"Q2","Follower","2021-05-21","4m - 4.5m",4270001
"Q3","Distribution","2021-07-27","3.5m - 4m",3988001
"Q1","Follower","2021-01-17","4m - 4.5m",4215001
"Rest of years","Innovator","2019-05-14","3.5m - 4m",3934001
"Q2","Commodity","2021-05-11","3m - 3.5m",3050000
"Q3","Distribution","2021-08-27","4.5m - 5m",4537001
"Q2","Follower","2021-05-04","3m - 3.5m",3440000
"Rest of years","Commodity","2017-11-24","4m - 4.5m",4405001
"Q2","Innovator","2021-05-31","3m - 3.5m",3447000
"Q1","Distribution","2021-01-06","3m - 3.5m",3431000
"Q3","Distribution","2021-07-10","4m - 4.5m",4313001
"Previous Year","Follower","2020-12-05","3m - 3.5m",3075000
"Q3","Innovator","2021-09-19","3.5m - 4m",3958001
"Q2","Commodity","2021-05-11","3.5m - 4m",3955001
"Rest of years","Distribution","2019-05-24","3m - 3.5m",3178000
"Rest of years","Follower","2019-06-23","4m - 4.5m",4377001
"Rest of years","Innovator","2017-06-11","3m - 3.5m",3120000
"Q3","Commodity","2021-09-24","4m - 4.5m",4217001
"Q2","Follower","2021-05-18","4m - 4.5m",4108001
"Q1","Innovator","2021-03-26","4m - 4.5m",4292001
"Q3","Distribution","2021-08-01","3m - 3.5m",3476000
"Rest of years","Commodity","2018-02-18","3m - 3.5m",3113000
"Q2","Innovator","2021-06-24","3m - 3.5m",3148000
"Q2","Follower","2021-04-01","4m - 4.5m",4419001
"Rest of years","Distribution","2019-08-14","4.5m - 5m",4691001
"Q3","Commodity","2021-07-15","3m - 3.5m",3191000
"Previous Year","Follower","2020-10-01","4m - 4.5m",4124001
"Q3","Distribution","2021-09-04","4m - 4.5m",4187001
"Rest of years","Commodity","2017-07-22","3m - 3.5m",3490000
"Q2","Innovator","2021-06-20","3m - 3.5m",3396000
"Q2","Distribution","2021-04-26","4m - 4.5m",4188001
"Q1","Innovator","2021-03-02","4m - 4.5m",4282001
"Rest of years","Follower","2018-08-18","4m - 4.5m",4380001
"Q3","Commodity","2021-09-03","3.5m - 4m",3591001
"Previous Year","Distribution","2020-05-06","3m - 3.5m",3323000
"Rest of years","Follower","2018-05-12","3m - 3.5m",3361000
"Q3","Commodity","2021-08-14","4m - 4.5m",4472001
"Q2","Innovator","2021-06-20","3m - 3.5m",3294000
"Q3","Distribution","2021-09-06","3m - 3.5m",3406000
"Q2","Innovator","2021-05-28","3m - 3.5m",3015000
"Rest of years","Commodity","2019-09-28","4m - 4.5m",4174001
"Q2","Follower","2021-06-13","3m - 3.5m",3048000
"Q1","Commodity","2021-02-01","4m - 4.5m",4367001
"Previous Year","Distribution","2020-12-06","4m - 4.5m",4359001
"Rest of years","Innovator","2018-02-05","4m - 4.5m",4099001
"Q3","Follower","2021-08-08","3m - 3.5m",3388000
"Rest of years","Innovator","2018-10-03","4m - 4.5m",4193001
"Q3","Commodity","2021-09-04","4m - 4.5m",4311001
"Q2","Distribution","2021-06-02","3m - 3.5m",3411000
"Q2","Follower","2021-05-31","3.5m - 4m",3630001
"Q3","Commodity","2021-07-07","4.5m - 5m",4915001
"Rest of years","Follower","2017-04-07","4m - 4.5m",4036001
"Previous Year","Distribution","2020-11-21","4m - 4.5m",4188001
"Q1","Innovator","2021-03-31","4m - 4.5m",4408001
"Q3","Innovator","2021-08-27","3.5m - 4m",3557001
"Rest of years","Commodity","2017-02-01","3m - 3.5m",3078000
"Rest of years","Distribution","2018-04-04","4m - 4.5m",4478001
"Q2","Follower","2021-04-15","3m - 3.5m",3003000
"Q3","Distribution","2021-09-12","4m - 4.5m",4048001
"Q2","Follower","2021-05-08","3m - 3.5m",3069000
"Q3","Commodity","2021-07-25","3m - 3.5m",3479000
"Q2","Innovator","2021-05-09","3m - 3.5m",3442000
"Rest of years","Follower","2017-12-15","4m - 4.5m",4025001
"Q1","Commodity","2021-01-15","3.5m - 4m",3902001
"Rest of years","Innovator","2018-07-17","4.5m - 5m",4528001
"Q3","Distribution","2021-08-05","4m - 4.5m",4431001
"Q2","Innovator","2021-04-12","3m - 3.5m",3221000
"Previous Year","Distribution","2020-02-10","4.5m - 5m",4667001
"Q2","Commodity","2021-06-08","3m - 3.5m",3196000
"Q3","Follower","2021-08-19","4m - 4.5m",4144001
"Rest of years","Innovator","2019-09-11","3m - 3.5m",3221000
"Q2","Follower","2021-04-24","3m - 3.5m",3107000
"Rest of years","Distribution","2019-12-25","4m - 4.5m",4011001
"Q3","Commodity","2021-07-25","3m - 3.5m",3179000
"Q1","Innovator","2021-01-02","3m - 3.5m",3074000
"Previous Year","Follower","2020-05-29","4m - 4.5m",4142001
"Q2","Distribution","2021-04-11","3m - 3.5m",3152000
"Rest of years","Commodity","2017-12-03","4m - 4.5m",4236001
"Rest of years","Innovator","2018-06-04","3.5m - 4m",3895001
"Q3","Distribution","2021-07-29","3.5m - 4m",3556001
